Entity,Code,Year,Refugee population by country or territory of asylum
Sweden,SWE,2020,248425
United Kingdom,GBR,1960,167000
United Kingdom,GBR,1961,164000
United Kingdom,GBR,1962,160000
United Kingdom,GBR,1963,157000
United Kingdom,GBR,1964,160000
United Kingdom,GBR,1965,170000
United Kingdom,GBR,1966,167000
United Kingdom,GBR,1967,164000
United Kingdom,GBR,1968,161000
United Kingdom,GBR,1969,162000
United Kingdom,GBR,1970,162000
United Kingdom,GBR,1971,150000
United Kingdom,GBR,1972,150000
United Kingdom,GBR,1973,150000
United Kingdom,GBR,1974,155500
United Kingdom,GBR,1975,153000
United Kingdom,GBR,1976,153000
United Kingdom,GBR,1977,148000
United Kingdom,GBR,1978,150000
United Kingdom,GBR,1979,146000
United Kingdom,GBR,1980,148000
United Kingdom,GBR,1981,146000
United Kingdom,GBR,1982,143000
United Kingdom,GBR,1983,140000
United Kingdom,GBR,1984,135000
United Kingdom,GBR,1985,135000
United Kingdom,GBR,1986,100000
United Kingdom,GBR,1987,100000
United Kingdom,GBR,1988,39755
United Kingdom,GBR,1989,46014
United Kingdom,GBR,1990,43625
United Kingdom,GBR,1991,43368
United Kingdom,GBR,1992,64717
United Kingdom,GBR,1993,80230
United Kingdom,GBR,1994,85159
United Kingdom,GBR,1995,90908
United Kingdom,GBR,1996,98577
United Kingdom,GBR,1997,107933
United Kingdom,GBR,1998,121715
United Kingdom,GBR,1999,148921
United Kingdom,GBR,2000,186247
United Kingdom,GBR,2001,233389
United Kingdom,GBR,2002,260687
United Kingdom,GBR,2003,276482
United Kingdom,GBR,2004,298826
United Kingdom,GBR,2005,303163
United Kingdom,GBR,2006,301537
United Kingdom,GBR,2007,299701
United Kingdom,GBR,2008,292081
United Kingdom,GBR,2009,269355
United Kingdom,GBR,2010,238133
United Kingdom,GBR,2011,193494
United Kingdom,GBR,2012,149790
United Kingdom,GBR,2013,126036
United Kingdom,GBR,2014,117226
United Kingdom,GBR,2015,123051
United Kingdom,GBR,2016,118973
United Kingdom,GBR,2017,121821
United Kingdom,GBR,2018,126708
United Kingdom,GBR,2019,133083
United Kingdom,GBR,2020,132349
