Entity,Code,Year,4_1_Migrant_pcent
Sweden,SWE,1990,9.215529442
Sweden,SWE,1995,10.60441494
Sweden,SWE,2000,11.3138628
Sweden,SWE,2005,12.46699524
Sweden,SWE,2010,14.76108646
Sweden,SWE,2015,16.76755905
United Kingdom,GBR,1990,6.391662598
United Kingdom,GBR,1995,7.176202297
United Kingdom,GBR,2000,8.035342216
United Kingdom,GBR,2005,9.842475891
United Kingdom,GBR,2010,12.12529469
United Kingdom,GBR,2015,13.20097828
