Entity,Code,Year,0_0_PM25
Austria,AUT,1990,16.866687774658203
Austria,AUT,1995,15.70612621307373
Austria,AUT,2000,15.355362892150879
Austria,AUT,2005,15.592062950134277
Austria,AUT,2010,15.149140357971191
Austria,AUT,2011,15.573370933532715
Austria,AUT,2012,14.282332420349121
Austria,AUT,2013,14.081613540649414
Austria,AUT,2014,13.379227638244629
Austria,AUT,2015,13.541094779968262
Austria,AUT,2016,12.596816062927246
Austria,AUT,2017,12.47796630859375
Belgium,BEL,1990,17.587495803833008
Belgium,BEL,1995,16.496065139770508
Belgium,BEL,2000,15.662450790405273
Belgium,BEL,2005,15.436351776123047
Belgium,BEL,2010,16.009319305419922
Belgium,BEL,2011,15.698442459106445
Belgium,BEL,2012,14.741893768310547
Belgium,BEL,2013,14.022669792175293
Belgium,BEL,2014,13.233621597290039
Belgium,BEL,2015,13.566522598266602
Belgium,BEL,2016,12.833087921142578
Belgium,BEL,2017,12.886518478393555
Bulgaria,BGR,1990,27.55988121032715
Bulgaria,BGR,1995,25.492809295654297
Bulgaria,BGR,2000,24.08980941772461
Bulgaria,BGR,2005,23.26729965209961
Bulgaria,BGR,2010,22.756195068359375
Bulgaria,BGR,2011,24.30032730102539
Bulgaria,BGR,2012,22.644655227661133
Bulgaria,BGR,2013,20.999637603759766
Bulgaria,BGR,2014,20.74357032775879
Bulgaria,BGR,2015,20.77642822265625
Bulgaria,BGR,2016,19.28301239013672
Bulgaria,BGR,2017,19.149131774902344
Croatia,HRV,1990,21.938692092895508
Croatia,HRV,1995,20.925025939941406
Croatia,HRV,2000,21.51238441467285
Croatia,HRV,2005,22.12263298034668
Croatia,HRV,2010,21.334718704223633
Croatia,HRV,2011,21.96600341796875
Croatia,HRV,2012,20.202423095703125
Croatia,HRV,2013,19.58696174621582
Croatia,HRV,2014,18.433103561401367
Croatia,HRV,2015,19.206682205200195
Croatia,HRV,2016,17.789318084716797
Croatia,HRV,2017,17.901771545410156
Cyprus,CYP,1990,20.90657615661621
Cyprus,CYP,1995,20.517221450805664
Cyprus,CYP,2000,20.184993743896484
Cyprus,CYP,2005,19.71804428100586
Cyprus,CYP,2010,20.081865310668945
Cyprus,CYP,2011,20.09096336364746
Cyprus,CYP,2012,19.224843978881836
Cyprus,CYP,2013,18.684545516967773
Cyprus,CYP,2014,18.293527603149414
Cyprus,CYP,2015,19.101346969604492
Cyprus,CYP,2016,16.95802116394043
Cyprus,CYP,2017,17.29440689086914
Czechia,CZE,1990,24.40361785888672
Czechia,CZE,1995,22.1213321685791
Czechia,CZE,2000,20.43670654296875
Czechia,CZE,2005,19.946592330932617
Czechia,CZE,2010,20.676870346069336
Czechia,CZE,2011,20.081247329711914
Czechia,CZE,2012,18.743175506591797
Czechia,CZE,2013,17.996286392211914
Czechia,CZE,2014,17.391216278076172
Czechia,CZE,2015,17.416452407836914
Czechia,CZE,2016,16.100584030151367
Czechia,CZE,2017,16.071245193481445
Denmark,DNK,1990,13.25493049621582
Denmark,DNK,1995,12.667547225952148
Denmark,DNK,2000,12.416939735412598
Denmark,DNK,2005,12.078428268432617
Denmark,DNK,2010,11.929147720336914
Denmark,DNK,2011,12.662331581115723
Denmark,DNK,2012,11.115525245666504
Denmark,DNK,2013,10.820279121398926
Denmark,DNK,2014,11.066704750061035
Denmark,DNK,2015,10.657285690307617
Denmark,DNK,2016,10.095972061157227
Denmark,DNK,2017,10.029653549194336
Estonia,EST,1990,9.05192756652832
Estonia,EST,1995,8.578045845031738
Estonia,EST,2000,8.227386474609375
Estonia,EST,2005,8.457242965698242
Estonia,EST,2010,8.519848823547363
Estonia,EST,2011,8.442559242248535
Estonia,EST,2012,7.810698509216309
Estonia,EST,2013,7.482813358306885
Estonia,EST,2014,7.705552577972412
Estonia,EST,2015,7.003727436065674
Estonia,EST,2016,6.821447849273682
Estonia,EST,2017,6.732123851776123
Finland,FIN,1990,7.412718296051025
Finland,FIN,1995,7.232851505279541
Finland,FIN,2000,7.093878746032715
Finland,FIN,2005,7.142454624176025
Finland,FIN,2010,7.19033145904541
Finland,FIN,2011,7.2836995124816895
Finland,FIN,2012,6.601133346557617
Finland,FIN,2013,6.278689384460449
Finland,FIN,2014,6.468639850616455
Finland,FIN,2015,6.063834190368652
Finland,FIN,2016,5.893757343292236
Finland,FIN,2017,5.861330986022949
France,FRA,1990,15.8496675491333
France,FRA,1995,15.273503303527832
France,FRA,2000,14.723017692565918
France,FRA,2005,14.704505920410156
France,FRA,2010,14.845621109008789
France,FRA,2011,14.878019332885742
France,FRA,2012,13.83475399017334
France,FRA,2013,13.594308853149414
France,FRA,2014,12.289703369140625
France,FRA,2015,12.745707511901855
France,FRA,2016,11.855184555053711
France,FRA,2017,11.814963340759277
Germany,DEU,1990,17.016523361206055
Germany,DEU,1995,15.625370025634766
Germany,DEU,2000,14.903934478759766
Germany,DEU,2005,14.535208702087402
Germany,DEU,2010,15.189495086669922
Germany,DEU,2011,14.664228439331055
Germany,DEU,2012,13.577642440795898
Germany,DEU,2013,13.191919326782227
Germany,DEU,2014,12.751220703125
Germany,DEU,2015,12.82609748840332
Germany,DEU,2016,11.937810897827148
Germany,DEU,2017,12.028767585754395
Greece,GRC,1990,20.642969131469727
Greece,GRC,1995,19.82827377319336
Greece,GRC,2000,19.918607711791992
Greece,GRC,2005,19.308103561401367
Greece,GRC,2010,19.06108856201172
Greece,GRC,2011,20.001541137695312
Greece,GRC,2012,18.42076873779297
Greece,GRC,2013,17.779417037963867
Greece,GRC,2014,17.365041732788086
Greece,GRC,2015,17.740556716918945
Greece,GRC,2016,16.328920364379883
Greece,GRC,2017,16.218265533447266
Hungary,HUN,1990,21.839860916137695
Hungary,HUN,1995,20.017446517944336
Hungary,HUN,2000,18.981849670410156
Hungary,HUN,2005,19.466550827026367
Hungary,HUN,2010,19.13552474975586
Hungary,HUN,2011,19.360689163208008
Hungary,HUN,2012,17.52996063232422
Hungary,HUN,2013,17.231830596923828
Hungary,HUN,2014,16.31532859802246
Hungary,HUN,2015,17.23213005065918
Hungary,HUN,2016,15.885350227355957
Hungary,HUN,2017,15.926048278808594
Ireland,IRL,1990,10.405027389526367
Ireland,IRL,1995,10.149260520935059
Ireland,IRL,2000,10.137776374816895
Ireland,IRL,2005,9.922228813171387
Ireland,IRL,2010,9.976374626159668
Ireland,IRL,2011,10.285079002380371
Ireland,IRL,2012,9.52269172668457
Ireland,IRL,2013,9.360153198242188
Ireland,IRL,2014,8.750521659851074
Ireland,IRL,2015,8.672473907470703
Ireland,IRL,2016,8.279163360595703
Ireland,IRL,2017,8.208577156066895
Italy,ITA,1990,21.31972885131836
Italy,ITA,1995,20.270069122314453
Italy,ITA,2000,19.777334213256836
Italy,ITA,2005,19.60087776184082
Italy,ITA,2010,19.025230407714844
Italy,ITA,2011,19.994266510009766
Italy,ITA,2012,18.105247497558594
Italy,ITA,2013,17.757722854614258
Italy,ITA,2014,17.769269943237305
Italy,ITA,2015,17.89144515991211
Italy,ITA,2016,16.490373611450195
Italy,ITA,2017,16.75071144104004
Latvia,LVA,1990,19.023418426513672
Latvia,LVA,1995,17.31863021850586
Latvia,LVA,2000,16.719966888427734
Latvia,LVA,2005,16.855894088745117
Latvia,LVA,2010,17.11506462097168
Latvia,LVA,2011,16.572675704956055
Latvia,LVA,2012,15.598559379577637
Latvia,LVA,2013,14.884307861328125
Latvia,LVA,2014,14.879085540771484
Latvia,LVA,2015,13.968201637268066
Latvia,LVA,2016,13.447471618652344
Latvia,LVA,2017,13.426457405090332
Lithuania,LTU,1990,16.398101806640625
Lithuania,LTU,1995,15.000761032104492
Lithuania,LTU,2000,14.428132057189941
Lithuania,LTU,2005,14.46207046508789
