Entity,Code,Year,0_0_Plastic_t_y
Georgia,GEO,2019,307
Iran,IRN,2019,495965
Israel,ISR,2019,6060
Jordan,JOR,2019,124425
Kazakhstan,KAZ,2019,54242
Kuwait,KWT,2019,2640
Lebanon,LBN,2019,46622
Oman,OMN,2019,1251
Pakistan,PAK,2019,1346460
Palestine,PSE,2019,2129
Qatar,QAT,2019,1532
Saudi Arabia,SAU,2019,7176
Syria,SYR,2019,502
Turkey,TUR,2019,1656110
United Arab Emirates,ARE,2019,5135
Yemen,YEM,2019,291737
