Entity,Code,Year,1_1_agri_land_pc
Afghanistan,AFG,1961,4.111496813862615
Afghanistan,AFG,1962,4.0378803651758055
Afghanistan,AFG,1963,3.9619813259801084
Afghanistan,AFG,1964,3.8864906250843396
Afghanistan,AFG,1965,3.8041163803493663
Afghanistan,AFG,1966,3.72615342399622
Afghanistan,AFG,1967,3.651852907414918
Afghanistan,AFG,1968,3.570534460499106
Afghanistan,AFG,1969,3.487863161496987
Afghanistan,AFG,1970,3.4013976821523366
Afghanistan,AFG,1971,3.31455555754047
Afghanistan,AFG,1972,3.226639493894395
Afghanistan,AFG,1973,3.142135292675351
Afghanistan,AFG,1974,3.0651859549905542
Afghanistan,AFG,1975,2.9984648313993993
Afghanistan,AFG,1976,2.939637380338687
Afghanistan,AFG,1977,2.888855516681489
Afghanistan,AFG,1978,2.8520677078625174
Afghanistan,AFG,1979,2.837136762384707
Afghanistan,AFG,1980,2.8487229936021463
Afghanistan,AFG,1981,2.8890027865101113
Afghanistan,AFG,1982,2.9539233293341183
Afghanistan,AFG,1983,3.035158677049195
Afghanistan,AFG,1984,3.1180833759139817
Afghanistan,AFG,1985,3.187580581608228
Afghanistan,AFG,1986,3.242452249577993
Afghanistan,AFG,1987,3.278459953669833
Afghanistan,AFG,1988,3.2742282345376856
Afghanistan,AFG,1989,3.205020997352993
Afghanistan,AFG,1990,3.0646999736068423
Afghanistan,AFG,1991,2.859609849359543
Afghanistan,AFG,1992,2.6253756675792546
Afghanistan,AFG,1993,2.3983658185009764
Afghanistan,AFG,1994,2.214429874640184
Afghanistan,AFG,1995,2.0845737402016944
Afghanistan,AFG,1996,2.0023935158348047
Afghanistan,AFG,1997,1.9522526226259
Afghanistan,AFG,1998,1.9185049573748598
Afghanistan,AFG,1999,1.8716618898049084
Afghanistan,AFG,2000,1.816799104406059
Afghanistan,AFG,2001,1.747258803494499
Afghanistan,AFG,2002,1.6704298127895643
Afghanistan,AFG,2003,1.600870170696002
Afghanistan,AFG,2004,1.533201944911012
Afghanistan,AFG,2005,1.4777263066115642
Afghanistan,AFG,2006,1.4341894497301466
Afghanistan,AFG,2007,1.398865321335342
Afghanistan,AFG,2008,1.3674923372092536
Afghanistan,AFG,2009,1.3351029992696202
Afghanistan,AFG,2010,1.2989666412168204
Afghanistan,AFG,2011,1.258740251030193
Afghanistan,AFG,2012,1.2165701540265745
Afghanistan,AFG,2013,1.1747902955937866
Afghanistan,AFG,2014,1.1360233142789469
Afghanistan,AFG,2015,1.1015992716601049
Afghanistan,AFG,2016,1.0714175088217426
Afghanistan,AFG,2017,1.0444644582189835
Afghanistan,AFG,2018,1.0200979389792633
Armenia,ARM,1992,0.3398379873225908
Armenia,ARM,1993,0.3511632692140722
Armenia,ARM,1994,0.36544509537660186
Armenia,ARM,1995,0.3866538528005053
Armenia,ARM,1996,0.4122187183280459
Armenia,ARM,1997,0.42513953481691713
Armenia,ARM,1998,0.42719000015118924
Armenia,ARM,1999,0.4282908959534765
Armenia,ARM,2000,0.4310020455493908
Armenia,ARM,2001,0.43531178387032166
Armenia,ARM,2002,0.4584739902530605
Armenia,ARM,2003,0.4784733386968295
Armenia,ARM,2004,0.5015462955557334
Armenia,ARM,2005,0.5383613488081753
Armenia,ARM,2006,0.5937179609824134
Armenia,ARM,2007,0.5973843166754075
Armenia,ARM,2008,0.6014545239436542
Armenia,ARM,2009,0.604655253364505
Armenia,ARM,2010,0.6029918823738348
Armenia,ARM,2011,0.5903276786192291
Armenia,ARM,2012,0.5835171487472931
Armenia,ARM,2013,0.5808279161840814
Armenia,ARM,2014,0.5770824084117306
Armenia,ARM,2015,0.5731224148049959
Armenia,ARM,2016,0.5710893508933318
Armenia,ARM,2017,0.5691745186670293
Armenia,ARM,2018,0.5682401426952531
Azerbaijan,AZE,1992,0.5950540730729934
Azerbaijan,AZE,1993,0.5878059351437676
Azerbaijan,AZE,1994,0.5838327016070887
Azerbaijan,AZE,1995,0.5773447210081406
Azerbaijan,AZE,1996,0.5761784052631304
Azerbaijan,AZE,1997,0.5789669716167772
Azerbaijan,AZE,1998,0.5860019612248206
Azerbaijan,AZE,1999,0.5826082184460486
Azerbaijan,AZE,2000,0.5835961038275134
Azerbaijan,AZE,2001,0.5789224693307478
Azerbaijan,AZE,2002,0.5732590348192432
Azerbaijan,AZE,2003,0.5686345869182949
