Iran IRN 2001 2178187264
Iran IRN 2002 18751684608
Iran IRN 2003 24051777536
Iran IRN 2004 13157466112
Iran IRN 2005 9993224192
Iran IRN 2006 16163307520
Iran IRN 2007 27684175872
Iran IRN 2008 920977408
Iran IRN 2009 3707633664
Iran IRN 2010 21554167808
Iran IRN 2011 10405871616
Iran IRN 2012 -30054842368
Iran IRN 2013 -725155840
Iran IRN 2014 17167777792
Iran IRN 2015 -5151883264
Iran IRN 2016 51569033216
Iran IRN 2017 16392192000
Iran IRN 2018 -27292401664
Iran IRN 2019 -28875030528
Iran IRN 2020 13442777088
Israel ISR 1996 8416182272
Israel ISR 1997 5810405376
Israel ISR 1998 6458277888
Israel ISR 1999 5723930624
Israel ISR 2000 14763982848
Israel ISR 2001 184893440
Israel ISR 2002 -354484224
Israel ISR 2003 2076033024
Israel ISR 2004 8979841024
Israel ISR 2005 7971700736
Israel ISR 2006 11533631488
Israel ISR 2007 12886360064
Israel ISR 2008 7750402048
Israel ISR 2009 2649686016
Israel ISR 2010 13329154048
Israel ISR 2011 13734690816
Israel ISR 2012 7383203840
Israel ISR 2013 12846874624
Israel ISR 2014 11622219776
Israel ISR 2015 6688342016
Israel ISR 2016 13391757312
Israel ISR 2017 13720715264
Israel ISR 2018 13033406464
Israel ISR 2019 12838666240
Israel ISR 2020 -7602962432
Jordan JOR 1977 475488256
Jordan JOR 1978 910919680
Jordan JOR 1979 1480393728
Jordan JOR 1980 961524736
Jordan JOR 1981 1641975808
Jordan JOR 1982 786917376
Jordan JOR 1983 -266082304
Jordan JOR 1984 503029760
Jordan JOR 1985 -330898432
Jordan JOR 1986 654673920
Jordan JOR 1987 291519488
Jordan JOR 1988 187732992
Jordan JOR 1989 -1397702656
Jordan JOR 1990 -32084992
Jordan JOR 1991 186545152
Jordan JOR 1992 1690952704
Jordan JOR 1993 604611584
Jordan JOR 1994 699954176
Jordan JOR 1995 916448256
Jordan JOR 1996 327574528
Jordan JOR 1997 530128896
Jordan JOR 1998 498619392
Jordan JOR 1999 577987584
Jordan JOR 2000 748523520
Jordan JOR 2001 968544256
Jordan JOR 2002 1119004672
Jordan JOR 2003 851732480
Jordan JOR 2004 1826351104
Jordan JOR 2005 1885468672
Jordan JOR 2006 2025650176
Jordan JOR 2007 2212093952
