Entity,Code,Year,GDP per capita growth (annual %)
Afghanistan,AFG,2003,3.868380308151245
Afghanistan,AFG,2004,-2.8752031326293945
Afghanistan,AFG,2005,7.207967281341553
Afghanistan,AFG,2006,2.2533106803894043
Afghanistan,AFG,2007,11.022787094116211
Afghanistan,AFG,2008,1.5942155122756958
Afghanistan,AFG,2009,18.515419006347656
Afghanistan,AFG,2010,11.264090538024902
Afghanistan,AFG,2011,-2.681061029434204
Afghanistan,AFG,2012,8.974864959716797
Afghanistan,AFG,2013,1.974165678024292
Afghanistan,AFG,2014,-0.6652910709381104
Afghanistan,AFG,2015,-1.6228572130203247
Afghanistan,AFG,2016,-0.5414161682128906
Afghanistan,AFG,2017,0.06476419419050217
Afghanistan,AFG,2018,-1.194900393486023
Afghanistan,AFG,2019,1.5356366634368896
Afghanistan,AFG,2020,-4.575031757354736
Armenia,ARM,1991,-10.870843887329102
Armenia,ARM,1992,-40.74465560913086
Armenia,ARM,1993,-6.63847017288208
Armenia,ARM,1994,7.95011568069458
Armenia,ARM,1995,9.103387832641602
Armenia,ARM,1996,7.507273197174072
Armenia,ARM,1997,4.479644298553467
Armenia,ARM,1998,8.14184856414795
Armenia,ARM,1999,3.9578185081481934
Armenia,ARM,2000,6.570086479187012
Armenia,ARM,2001,10.279402732849121
Armenia,ARM,2002,13.823463439941406
Armenia,ARM,2003,14.60582160949707
Armenia,ARM,2004,11.13422966003418
Armenia,ARM,2005,14.643207550048828
Armenia,ARM,2006,14.078607559204102
Armenia,ARM,2007,14.695868492126465
Armenia,ARM,2008,7.819138050079346
Armenia,ARM,2009,-13.519391059875488
Armenia,ARM,2010,2.582897424697876
Armenia,ARM,2011,4.728317737579346
Armenia,ARM,2012,6.913698673248291
Armenia,ARM,2013,2.8239262104034424
Armenia,ARM,2014,3.073178768157959
Armenia,ARM,2015,2.7359180450439453
Armenia,ARM,2016,-0.16132986545562744
Armenia,ARM,2017,7.1845221519470215
Armenia,ARM,2018,4.952230930328369
Armenia,ARM,2019,7.382197380065918
Armenia,ARM,2020,-7.572060585021973
Azerbaijan,AZE,1991,-2.012383222579956
Azerbaijan,AZE,1992,-23.761201858520508
Azerbaijan,AZE,1993,-24.256864547729492
Azerbaijan,AZE,1994,-20.775558471679688
Azerbaijan,AZE,1995,-12.813429832458496
Azerbaijan,AZE,1996,0.28021395206451416
Azerbaijan,AZE,1997,4.784282207489014
Azerbaijan,AZE,1998,8.960887908935547
Azerbaijan,AZE,1999,6.461582183837891
Azerbaijan,AZE,2000,10.19102954864502
Azerbaijan,AZE,2001,9.051822662353516
Azerbaijan,AZE,2002,8.625350952148438
Azerbaijan,AZE,2003,9.376461029052734
Azerbaijan,AZE,2004,8.301538467407227
Azerbaijan,AZE,2005,26.66009521484375
Azerbaijan,AZE,2006,33.030487060546875
Azerbaijan,AZE,2007,23.59068489074707
Azerbaijan,AZE,2008,8.457449913024902
Azerbaijan,AZE,2009,7.050602436065674
Azerbaijan,AZE,2010,3.8064911365509033
Azerbaijan,AZE,2011,-1.1958431005477905
Azerbaijan,AZE,2012,0.8166840672492981
Azerbaijan,AZE,2013,4.4500203132629395
Azerbaijan,AZE,2014,1.4759371280670166
Azerbaijan,AZE,2015,-0.10312143713235855
Azerbaijan,AZE,2016,-4.17717170715332
Azerbaijan,AZE,2017,-0.7784160375595093
Azerbaijan,AZE,2018,0.6244861483573914
Azerbaijan,AZE,2019,1.635850429534912
Azerbaijan,AZE,2020,-4.952701568603516
Georgia,GEO,1966,6.312988758087158
Georgia,GEO,1967,5.212909698486328
Georgia,GEO,1968,3.5131449699401855
Georgia,GEO,1969,3.8023464679718018
Georgia,GEO,1970,10.97508430480957
Georgia,GEO,1971,1.4100431203842163
Georgia,GEO,1972,1.8024649620056152
Georgia,GEO,1973,5.549076557159424
Georgia,GEO,1974,7.867550849914551
Georgia,GEO,1975,6.591379642486572
Georgia,GEO,1976,5.335256576538086
Georgia,GEO,1977,6.170393943786621
Georgia,GEO,1978,6.80375862121582
Georgia,GEO,1979,6.582675933837891
Georgia,GEO,1980,3.6984970569610596
Georgia,GEO,1981,4.407430171966553
Georgia,GEO,1982,1.1415714025497437
Georgia,GEO,1983,3.389253854751587
Georgia,GEO,1984,4.53053617477417
Georgia,GEO,1985,4.025674819946289
Georgia,GEO,1986,-8.987244606018066
Georgia,GEO,1987,0.44932445883750916
Georgia,GEO,1988,4.515580177307129
Georgia,GEO,1989,-7.438647270202637
Georgia,GEO,1990,-14.765157699584961
Georgia,GEO,1991,-21.653095245361328
Georgia,GEO,1992,-45.32510757446289
Georgia,GEO,1993,-29.841289520263672
Georgia,GEO,1994,-9.009992599487305
Georgia,GEO,1995,6.528767108917236
Georgia,GEO,1996,15.310196876525879
Georgia,GEO,1997,14.121424674987793
Georgia,GEO,1998,5.687768936157227
Georgia,GEO,1999,5.007586479187012
Georgia,GEO,2000,3.838099956512451
Georgia,GEO,2001,6.443911075592041
Georgia,GEO,2002,6.424463272094727
Georgia,GEO,2003,11.811314582824707
Georgia,GEO,2004,6.451674461364746
Georgia,GEO,2005,10.288003921508789
Georgia,GEO,2006,10.043577194213867
Georgia,GEO,2007,13.167752265930176
