year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,
2019,1588,1381,1664,4,LBY,
2020,668,564,777,4,LBY,
2014,88,88,107,3,UKR,
2013,28,26,28,3,IND,
2014,39,33,58,3,IND,
2014,1861,1787,2186,4,UKR,
2014,111,73,111,3,SDN,
2017,45,45,52,3,SDN,
2014,256,256,761,3,SDN,
2015,53,53,253,3,SDN,
2014,1071,1049,1380,4,RUS : UKR,
2014,1458,1434,1496,4,UKR,
2015,1396,1359,1439,4,UKR,
2014,36,36,36,3,PAK,
2021,56,56,56,2,KGZ: TJK,
2014,126,126,126,3,LBN,
2015,76,42,135,3,LBN,
2017,70,69,96,3,LBN,
2014,143,143,143,3,LBY,
2013,29,29,30,3,MMR ,
2014,37,37,203,3,MMR ,
2015,106,106,181,3,MMR ,
2017,46,46,46,3,MMR ,
2018,46,34,77,3,MMR ,
2019,49,36,91,3,MMR ,
2016,68,68,68,3,PAK,
2017,80,80,81,3,PAK,
2018,51,51,51,3,PAK,
2019,29,29,29,3,PAK,
2021,26,26,26,3,PAK,
2015,674,625,865,4,AFG,
2016,2141,2100,2544,4,AFG,
2017,2795,2738,3009,4,AFG,
2018,2842,2770,5149,4,AFG,
2019,1075,1045,1435,4,AFG,
2020,316,279,356,4,AFG,
2021,264,206,322,4,AFG: PAK,
1989,53,53,53,3,ROU,
2015,46,46,49,3,BDI,
2015,6467,6287,7441,4,SAU: YEM ,
2016,3014,3012,3060,4,SAU: YEM ,
2017,2674,2673,2919,4,SAU: YEM ,
2018,4480,4442,6571,4,SAU: YEM ,
2019,1778,1723,1945,4,SAU: YEM ,
2020,2335,2238,2522,4,SAU: YEM ,
2021,23189,21937,33466,4,SAU: YEM ,
2015,246,246,251,3,YEM ,
2017,26,5,26,3,YEM ,
2020,33,11,62,3,YEM ,
2015,44,44,59,3,MLI,
2015,55,55,57,3,RUS ,
2016,69,64,85,3,RUS ,
2017,53,53,76,3,RUS ,
2018,30,30,30,3,RUS ,
2019,26,26,27,3,RUS ,
2020,30,24,31,3,RUS ,
2013,1422,1414,1642,3,SYR,
2014,7336,6977,8114,3,SYR,
2015,10382,9967,10708,4,SYR,
2016,10903,10651,11248,4,SYR,
2017,11920,11667,13077,4,SYR,
2018,4347,4340,4461,4,SYR,
2019,523,522,636,4,SYR,
2020,1076,771,1377,4,SYR,
2021,680,680,774,4,SYR,
2021,129,76,216,3,NGA,
2015,96,96,96,3,BDI,
2015,283,283,315,4,CMR: NGA,
2016,189,189,206,3,CMR: NGA,
2019,135,129,153,4,CMR,
2021,62,56,134,4,CMR,
2015,272,272,272,3,TCD,
2017,57,57,219,3,TCD,
2018,108,108,109,3,TCD,
2019,144,144,166,3,TCD,
2020,143,143,696,3,TCD,
2021,55,55,82,3,TCD,
2015,171,131,338,4,NER,
2016,274,274,281,4,NER,
2017,229,229,236,4,NER,
2018,74,71,113,4,NER,
2019,283,280,322,4,NER,
2020,512,510,550,4,NER,
2021,380,297,464,4,NER,
2015,2063,2060,3097,4,NGA,
2016,2287,2287,2348,4,NGA,
2017,817,817,1267,4,NGA,
2018,836,693,1158,4,NGA,
2019,1013,857,1597,4,NGA,
2020,1559,1297,2470,4,NGA,
2021,1597,1431,2493,4,NGA,
2015,767,753,947,3,EGY,
2016,355,355,359,3,EGY,
2017,394,279,514,3,EGY,
2018,652,502,654,3,EGY,
2019,589,217,598,3,EGY,
2020,527,206,538,3,EGY,
2021,112,99,204,3,EGY,
2015,161,98,192,3,IND,
2016,47,47,69,3,IND,
2017,39,39,41,3,IND,
2018,27,26,28,3,IND,
2015,26,26,27,3,SYR: TUR,
2016,1087,1082,1087,3,IRQ: SYR: TUR,
2017,770,703,916,3,SYR: TUR,
2016,41,41,41,3,BGD,
2017,47,47,48,3,BGD,
2016,34,34,35,3,JOR: SYR,
2015,30,32,32,3,TUN,
2015,118,116,121,3,LBY,
2016,1678,1607,2720,4,LBY,
2017,96,95,121,4,LBY,
2018,44,44,45,4,LBY,
2019,43,43,43,4,LBY,
2016,71,71,72,3,TUN,
2016,152,145,154,3,SYR,
2018,35,35,87,3,SYR,
2012,33,27,44,3,COD ,
2014,60,60,60,3,BDI,
2015,39,39,39,3,BDI,
2019,61,60,96,4,BDI: COD ,
2020,83,79,139,4,BDI: COD ,
2021,26,26,29,4,BDI: COD ,
2015,26,26,26,3,DZA,
2017,27,27,27,3,IRN,
2016,30,28,66,3,PHL,
2016,477,279,1792,3,COD ,
2017,2966,2724,3909,3,COD ,
2018,57,57,62,3,COD ,
2019,78,73,137,4,BFA,
2020,160,131,182,4,BFA,
2021,170,152,176,4,BFA,
2017,55,55,66,3,EGY,
2018,28,28,28,3,EGY,
2019,48,42,54,3,EGY,
2016,274,274,354,3,TUR,
2016,86,84,129,3,MMR ,
2017,393,393,404,3,MMR ,
2019,33,33,36,4,SOM,
2020,41,34,46,4,SOM,
2021,53,53,104,3,SOM,
2015,220,198,232,4,UKR,
2016,225,213,263,4,UKR,
2017,352,336,389,4,UKR,
2018,172,119,179,4,UKR,
2019,279,233,279,4,UKR,
2020,133,77,164,4,UKR,
2021,168,140,180,4,UKR,
2015,93,88,93,4,UKR,
2016,30,30,31,4,UKR,
2017,63,63,76,4,UKR,
2018,71,49,78,4,UKR,
2019,32,26,32,4,UKR,
2020,63,36,93,4,UKR,
2021,40,34,40,4,UKR,
2017,246,237,336,4,MLI,
2018,402,375,435,4,MLI,
2019,422,421,566,4,MLI,
2020,517,498,650,4,MLI,
2021,616,578,660,4,MLI,
2017,73,73,73,4,COD ,
2021,76,17,82,4,NER,
2018,79,70,103,4,BFA,
2019,271,185,404,4,BFA,
2020,352,183,359,4,BFA,
2021,836,721,924,4,BFA,
2019,110,102,188,3,SSD,
2020,58,49,135,3,SSD,
2021,35,35,56,3,SSD,
2017,72,72,73,3,LBY,
2017,47,47,47,4,MLI,
2018,119,114,155,4,MLI,
2019,181,174,195,4,MLI,
2020,63,58,106,4,MLI,
2021,110,110,129,4,MLI,
2017,48,48,94,3,EGY,
2017,235,235,366,3,YEM ,
2017,70,70,98,3,LBY,
2018,41,41,47,4,COD ,
2019,37,37,40,4,COD ,
2018,39,39,39,4,COD ,
2019,67,67,67,4,COD ,
2020,86,83,92,4,COD ,
2021,93,92,94,4,COD ,
2016,155,90,177,3,PHL,
2017,1363,1336,1435,3,PHL,
2018,193,159,198,3,PHL,
2019,136,125,140,3,PHL,
2020,75,74,75,3,PHL,
2021,71,71,71,3,PHL,
2016,57,57,58,3,PHL,
2018,27,27,27,3,PHL,
2018,93,93,93,3,COL,
2019,60,60,61,3,COL: ECU,
2020,35,35,35,3,COL: PER,
2021,88,88,89,3,COL: VEN,
2018,53,47,53,3,MOZ,
2019,97,93,99,3,MOZ,
2013,31,17,61,3,LBY,
2019,35,35,35,4,COD : RWA,
2020,30,30,30,4,COD ,
2000,38,38,38,3,COL,
2004,26,26,26,3,COL,
2018,55,53,68,4,CAF,
2019,51,48,53,4,CAF,
2020,26,26,36,4,CAF,
2021,196,173,196,4,CAF,
2018,111,111,127,2,SYR,
2019,138,113,153,2,SYR,
2020,461,398,473,2,IRN: IRQ: SYR: YEM ,
2021,162,157,172,2,SYR,
2018,42,42,89,3,TCD,
2020,53,6,53,3,TCD,
1997,233,233,378,3,KHM ,
1998,119,119,230,3,KHM ,
1997,65,65,65,3,KHM ,
2017,35,35,44,3,CMR,
2018,751,747,1007,3,CMR: NGA,
2019,558,557,645,3,CMR,
2020,401,377,457,3,CMR,
2021,519,510,644,3,CMR,
2016,25,9,185,3,AGO,
2017,25,16,111,3,AGO,
2019,25,10,53,3,AGO: COG: COD ,
2020,25,11,136,3,AGO: COG: COD ,
2019,170,162,175,4,COD ,
2020,644,641,702,4,COD ,
2021,614,586,638,4,COD ,
2019,194,168,218,3,MOZ,
2020,937,645,1259,3,MOZ,
2021,711,532,1033,4,MOZ,
2019,27,27,27,3,ETH,
2019,131,131,210,4,COD ,
2020,52,52,52,4,COD ,
2019,37,37,37,3,PAK,
2020,120,77,121,3,PAK,
2021,129,109,147,3,PAK,
2020,55,55,70,4,AFG,
2019,40,40,43,3,ETH,
2020,25,25,398,3,ETH,
2021,280,276,3774,3,ETH,
2005,34,34,34,3,COD ,
2016,29,29,30,3,COD ,
2021,37,33,37,4,COD ,
2020,25,22,26,3,TZA,
2020,31,31,31,4,CAF,
2021,732,592,735,4,CAF,
2021,431,431,631,3,TCD,
2021,684,595,3288,3,MMR ,
2021,534,85,1834,3,AFG,
2000,30,30,30,3,TUR,
2021,153,153,153,3,SSD,
1990,31,31,335,3,IRN,
1993,110,110,110,3,IRN: IRQ,
1996,27,27,29,3,IRN: IRQ,
2016,30,30,137,3,IRN: IRQ,
2018,44,33,78,3,IRN: IRQ,
1989,725,704,766,3,PHL,
1990,1140,1140,1149,3,PHL,
1991,1514,1514,1933,3,PHL,
1992,430,430,454,3,PHL,
1993,99,99,114,3,PHL,
1994,69,69,73,3,PHL,
1995,36,36,41,3,PHL,
1997,32,32,32,3,PHL,
1999,93,93,98,3,PHL,
2000,140,140,140,3,PHL,
2001,97,93,299,3,PHL,
2002,280,280,291,3,PHL,
2003,231,227,236,3,PHL,
2004,270,264,344,3,PHL,
2005,234,222,243,3,PHL,
2006,310,310,1018,3,PHL,
2007,132,132,1077,3,PHL,
2008,184,184,217,3,PHL,
2009,377,377,400,3,PHL,
2010,258,258,352,3,PHL,
2011,204,204,210,3,PHL,
2012,182,181,193,3,PHL,
2013,165,165,170,3,PHL,
2014,190,187,199,3,PHL,
2015,168,168,173,3,PHL,
2016,92,92,101,3,PHL,
2017,174,174,214,3,PHL,
2018,144,103,149,3,PHL,
2019,138,135,176,3,PHL,
2020,165,165,166,3,PHL,
2021,195,195,195,3,PHL,
1989,97,97,119,3,PHL,
1990,25,25,25,3,PHL,
1989,25,25,25,2,IND,
1990,28,26,28,2,IND: PAK,
1991,99,99,195,2,IND: PAK,
1992,25,25,33,2,IND,
1994,42,42,42,2,IND: PAK,
1996,35,35,35,2,IND: PAK,
1997,127,127,133,2,IND: PAK,
1998,147,147,163,2,IND: PAK,
1999,934,914,1508,2,IND: PAK,
2000,198,198,234,2,IND: PAK,
2001,46,46,84,2,IND: PAK,
2002,212,212,233,2,IND: PAK,
2003,237,237,276,2,IND: PAK,
2013,31,31,33,2,IND: PAK,
2014,49,46,68,2,IND: PAK,
2015,63,62,64,2,IND: PAK,
2016,100,100,112,2,IND: PAK,
2017,151,151,153,2,IND: PAK,
2018,129,126,164,2,IND: PAK,
2019,164,164,175,2,IND: PAK,
2020,162,162,168,2,IND: PAK,
1989,150,17,300,3,PRY,
1989,1000,809,1355,3,MMR : THA,
1990,393,393,428,3,MMR : THA,
1991,552,497,672,3,MMR ,
1992,1163,1130,1275,3,MMR ,
1994,25,15,25,3,MMR ,
1995,110,60,110,3,MMR ,
1997,41,41,41,3,MMR ,
1998,36,36,36,3,MMR ,
2000,68,66,68,3,MMR : THA,
2001,36,36,36,3,MMR : THA,
2002,110,108,121,3,MMR ,
2003,38,38,44,3,MMR ,
2004,27,25,28,3,MMR ,
2005,42,38,46,3,MMR ,
2006,104,79,105,3,MMR ,
2007,104,104,106,3,MMR ,
2008,33,33,36,3,MMR : THA,
2009,63,43,79,3,MMR ,
2010,63,50,63,3,MMR : THA,
2011,219,203,1351,3,MMR ,
2021,78,72,991,3,MMR ,
2000,46,46,46,3,MMR ,
2010,58,56,62,3,MMR ,
2011,115,115,116,3,MMR ,
2013,41,41,41,3,MMR ,
1990,25,25,25,3,MMR ,
1991,25,25,25,3,MMR ,
1992,25,25,25,3,MMR ,
1994,25,25,25,3,MMR ,
1991,25,25,25,3,MMR ,
1994,109,109,109,3,MMR ,
1990,112,112,112,3,MMR ,
1996,80,80,80,3,MMR ,
1991,78,78,78,3,IND,
1992,322,322,502,3,IND,
1993,182,174,193,3,IND,
1994,68,68,68,3,IND,
1996,173,172,173,3,IND,
1997,84,78,85,3,IND,
1998,99,99,111,3,IND,
1999,91,91,91,3,IND,
2000,146,142,151,3,IND,
2001,108,93,108,3,IND,
2002,122,121,132,3,IND,
2003,66,66,71,3,IND,
2004,27,27,27,3,IND,
1999,35,29,39,3,IND,
2000,25,25,25,3,IND,
2001,65,65,65,3,IND,
2002,57,57,57,3,IND,
2003,33,33,33,3,IND,
2004,38,38,38,3,IND,
2005,199,199,241,3,IND,
2006,546,489,608,3,IND,
2007,377,373,404,3,IND,
2008,384,376,437,3,IND,
2009,522,513,654,3,IND,
2010,569,556,664,3,IND,
2011,299,299,348,3,IND,
2012,245,237,278,3,IND,
2013,215,209,236,3,IND,
2014,198,171,245,3,IND,
2015,146,146,205,3,IND,
2016,268,244,323,3,IND,
2017,245,244,246,3,IND,
2018,309,304,321,3,IND,
2019,216,216,217,3,IND,
2020,153,152,175,3,IND,
2021,181,175,193,3,IND,
2009,94,94,103,4,YEM ,
2010,175,149,244,4,YEM ,
2011,1140,1135,1195,4,YEM ,
2012,2330,2328,2415,4,YEM ,
2013,582,581,641,4,YEM ,
2014,1034,1034,1375,4,YEM ,
2015,145,145,153,3,YEM ,
2016,32,10,33,3,YEM ,
2017,130,4,163,3,YEM ,
2018,36,7,37,3,YEM ,
1989,194,194,194,3,MMR ,
1990,25,25,25,3,MMR ,
1991,25,25,25,3,MMR ,
1992,25,25,25,3,MMR ,
2011,209,208,574,3,MMR ,
2012,702,676,2198,3,MMR ,
2013,125,117,143,3,MMR ,
2014,83,83,84,3,MMR ,
2015,142,142,224,3,MMR ,
2016,32,31,47,3,MMR ,
2017,43,43,43,3,MMR ,
2018,26,21,52,3,MMR ,
2019,29,29,30,3,MMR ,
2021,136,132,503,3,MMR ,
1989,82,82,300,3,GTM,
1990,83,83,114,3,GTM,
1991,72,72,85,3,GTM,
1992,67,67,95,3,GTM,
1993,58,58,86,3,GTM,
1994,37,37,39,3,GTM,
1995,27,21,27,3,GTM,
1989,27,27,30,3,ISR: LBN,
2001,27,24,34,3,ISR,
1989,27,27,33,3,ISR: LBN,
1990,29,26,49,3,ISR: LBN,
1991,28,28,30,3,ISR: LBN,
1992,33,32,36,3,FRA: ISR: LBN,
2000,30,27,32,3,ISR,
2001,37,37,42,3,ISR,
2002,62,62,62,3,ISR,
2005,39,37,41,3,ISR,
2006,72,68,81,3,ISR,
2007,41,41,47,3,ISR,
1993,47,47,48,3,ISR,
1994,44,41,45,3,ISR,
2001,79,77,83,3,ISR,
2002,195,189,201,3,ISR,
2003,220,220,231,3,ISR,
2004,204,202,238,3,ISR: SYR,
2005,34,34,41,3,ISR,
2006,121,121,148,3,ISR,
2007,141,141,160,3,ISR,
2008,603,515,641,3,ISR,
2009,657,559,828,3,ISR,
2011,35,35,35,3,ISR,
2012,197,198,207,3,ISR,
2014,2143,2133,2146,3,ISR,
2018,53,53,62,3,ISR,
2021,233,233,233,3,ISR,
1995,34,34,36,3,ISR: MLT,
2001,26,26,26,3,ISR,
2002,107,107,111,3,ISR,
2003,52,52,56,3,ISR,
2004,70,60,74,3,ISR,
2005,47,45,53,3,ISR,
2006,90,90,97,3,ISR: LBN,
2007,94,93,98,3,ISR,
2008,62,62,71,3,ISR,
2009,39,39,39,3,ISR,
2010,27,27,27,3,ISR,
2011,43,43,43,3,ISR,
2012,38,38,38,3,ISR,
2014,227,227,229,3,ISR,
2019,50,50,51,3,ISR: SYR,
2021,36,36,36,3,ISR,
1996,66,66,66,3,ISR,
2000,47,47,47,3,ISR,
2001,75,74,76,3,ISR,
2002,116,115,152,3,ISR,
2002,131,131,141,3,ISR,
2003,38,38,42,3,ISR,
2004,105,105,116,3,ISR,
2006,45,42,52,3,ISR,
1992,47,47,47,3,IND,
1993,92,92,128,3,IND,
1994,60,58,69,3,IND,
1995,95,95,95,3,IND,
1996,40,40,40,3,IND,
1997,37,37,37,3,IND,
2000,30,18,30,3,IND,
1992,404,402,404,3,MMR ,
1996,124,124,140,3,MMR ,
2005,35,35,35,3,MMR : THA,
2021,62,40,317,3,MMR ,
1991,237,237,1261,3,IRQ,
1992,280,280,741,3,IRQ,
1993,75,75,203,3,IRQ,
1994,34,34,36,3,IRQ,
1995,325,325,650,3,IRQ,
1996,42,42,66,3,IRQ,
2004,414,405,488,4,IRQ,
2005,302,302,329,4,IRQ,
2006,160,96,163,4,IRQ,
2007,25,24,28,4,IRQ,
2011,27,27,27,4,IRQ,
2004,2422,2418,3751,4,IRQ,
2005,2208,2153,3058,4,IRQ,
2006,3732,3065,3917,4,IRQ,
2007,1741,1626,1938,4,IRQ,
2008,1246,1242,1289,4,IRQ,
2009,1036,926,1074,4,IRQ,
2010,989,810,1040,4,IRQ,
2011,837,710,932,4,IRQ,
2012,565,487,598,3,IRQ,
2013,1870,1723,1925,3,IRQ: SYR,
2014,13761,13035,15037,4,IRQ: SYR,
2015,10981,10919,12182,4,FRA: IRQ: LBY: SYR,
2016,9775,9543,10214,4,Belgium: IRQ: LBY: SYR,
2017,10025,9776,12186,4,AFG: FRA: IRQ: PAK: SYR: YEM ,
2018,866,856,900,4,Australia: Belgium: FRA: IRQ: SYR,
2019,498,497,520,4,IRQ: SYR: GBR,
2020,671,638,711,4,IRQ: SYR,
2021,707,628,816,4,AFG: IRQ,
2005,98,87,176,4,IRQ,
2006,31,31,43,4,IRQ,
2007,75,75,75,4,IRQ,
1989,458,401,616,4,LBN,
1990,700,400,800,4,LBN,
1989,253,205,290,4,LBN,
1989,30,30,30,3,LAO,
1990,249,45,249,3,LAO,
1993,130,130,230,3,MMR ,
1994,526,526,984,3,MMR ,
1995,174,174,332,3,MMR ,
1996,25,25,25,3,MMR ,
1997,152,152,157,3,MMR ,
1998,25,4,25,3,MMR ,
1999,25,25,25,3,MMR ,
2000,69,69,69,3,MMR ,
2001,117,117,117,3,MMR : THA,
2002,184,183,250,3,MMR : THA,
2005,27,27,28,3,MMR ,
2006,48,38,49,3,MMR ,
2007,29,29,29,3,MMR ,
2008,31,31,31,3,MMR ,
2009,52,52,60,3,MMR ,
2010,36,36,36,3,MMR ,
2011,29,29,29,3,MMR ,
2013,32,29,34,3,MMR ,
2020,1592,1489,3661,4,ETH,
2021,8637,8103,42253,4,ETH,
1989,18366,18366,18366,3,ETH,
1990,18985,18985,18985,3,ETH,
1991,3918,3918,4768,3,ETH,
1989,37,37,54,3,ETH,
1996,44,44,46,3,NPL,
1997,40,40,40,3,NPL,
1998,250,118,302,3,NPL,
1999,156,147,306,3,NPL,
2000,268,259,295,3,NPL,
2001,429,380,479,3,NPL,
2002,3946,2773,4105,3,NPL,
2003,1341,1275,1405,3,NPL,
2004,1880,1848,2040,3,NPL,
2005,1104,1100,1169,3,NPL,
2006,457,452,477,3,NPL,
1989,25,25,25,3,IRQ,
1990,34,34,34,3,IRQ,
1991,298,298,1558,3,IRQ,
1989,25,25,25,3,IRQ,
1990,60,60,60,3,IRQ,
1991,949,949,1045,3,IRQ,
1992,26,26,52,3,IRQ,
1995,262,262,302,3,IRQ,
1996,356,356,366,3,IRN: IRQ,
2020,25,25,25,2,IND,
1989,5930,5930,5930,3,ETH,
1990,30633,30633,30633,3,ETH,
1991,6907,6904,6907,3,ETH,
1992,144,144,263,3,VEN,
1996,1304,1164,1852,4,COD ,
1997,4465,4046,4834,4,COD ,
1998,374,156,402,4,COD ,
1999,1807,1807,1807,4,COD ,
2000,389,389,1265,4,COD ,
1998,2894,2866,5309,4,COD ,
1999,1146,791,1422,4,COD ,
2000,905,871,1193,4,COD ,
2001,454,454,734,4,COD ,
2006,182,54,362,3,COD : UGA,
2007,516,516,553,3,COD ,
2008,486,486,486,3,COD ,
1991,272,272,551,3,BDI,
1992,61,61,61,3,BDI,
1994,56,56,532,3,BDI,
1995,254,235,526,3,BDI,
1996,531,496,962,3,BDI,
1997,396,396,719,3,BDI,
1998,273,273,322,3,BDI,
1997,131,31,329,3,BDI,
1997,112,112,168,3,BDI,
1998,305,305,345,3,BDI,
1999,292,248,386,3,BDI,
2000,448,404,838,3,BDI,
2001,740,727,1507,3,BDI,
2002,562,500,797,3,BDI,
2003,710,710,733,3,BDI,
2004,387,367,425,3,BDI,
2005,286,286,356,3,BDI,
2006,141,141,141,3,BDI,
2008,201,201,205,3,BDI,
1998,43,43,73,3,BDI,
1999,232,73,293,3,BDI,
2000,900,823,1285,3,BDI,
2001,442,442,981,3,BDI,
2002,552,282,794,3,BDI: COD ,
2003,262,262,405,3,BDI,
1989,235,235,835,3,TCD: SDN,
1990,252,252,2099,3,TCD,
1989,50,50,50,3,TCD,
1989,30,30,700,3,SDN,
1990,1100,1100,6833,3,TCD: SDN,
1991,25,25,25,3,TCD,
1992,726,726,1380,3,TCD,
1993,40,40,40,3,TCD,
1997,39,39,39,3,TCD,
1991,43,43,43,3,TCD,
1992,115,115,115,3,TCD,
1993,25,25,25,3,TCD,
1994,25,25,25,3,TCD,
1992,33,33,33,3,TCD,
1993,30,30,30,3,TCD,
1994,100,100,204,3,TCD,
1992,25,25,25,3,TCD,
1993,25,25,25,3,TCD,
1994,31,31,31,3,TCD,
1997,58,58,58,3,TCD,
1998,34,34,34,3,TCD,
1999,394,394,1149,3,TCD,
2000,989,989,1041,3,TCD,
2001,226,226,326,3,TCD,
2002,294,294,350,3,TCD,
2003,37,37,189,3,TCD,
2005,100,100,356,3,TCD,
2006,879,879,988,3,TCD,
2006,32,32,543,3,TCD,
2006,339,339,1092,3,TCD,
2007,69,69,380,3,TCD,
2008,991,991,1361,3,TCD,
2009,131,131,324,3,TCD,
2010,42,42,83,3,TCD: SDN,
1989,63,63,751,3,COL,
1990,351,351,418,3,COL,
1991,666,666,681,3,COL,
1992,1404,1404,1428,3,COL,
1993,130,130,140,3,COL,
1994,1082,1082,1291,3,COL,
1995,770,770,775,3,COL,
1996,885,878,922,3,COL,
1997,442,442,558,3,COL,
1998,876,875,1321,3,COL,
1999,1160,1139,1419,3,COL,
2000,1534,1520,1834,3,COL,
2001,1490,1485,1605,3,COL,
2002,2212,2156,2734,3,COL,
2003,653,628,671,3,COL,
2004,968,944,1020,3,COL,
2005,1222,1222,1287,3,COL,
2006,468,468,480,3,COL,
2007,316,316,323,3,COL: VEN,
2008,217,213,217,3,COL: ECU,
2009,377,377,421,3,COL,
