Entity,2_1_GDP_2015_USD
Afghanistan,0.00023712280893214077
Albania,0.0001440800434812808
Algeria,0.0020503825510242058
Andorra,3.4075668211683544e-05
Angola,0.0013355359349101965
Anguilla,0.006027038024556423
AntiguaandBarbuda,1.6952944074723067e-05
Argentina,0.0070762404029024615
Armenia,0.0001341045095153967
Aruba,3.622948837061161e-05
Australia,0.01677437132136652
Austria,0.004707665936774739
Azerbaijan,0.0006087651045193006
Bahamas,0.0001426998225524258
Bahrain,0.0003960812315763127
Bangladesh,0.0026490660522894456
Barbados,5.7137784830888225e-05
Belarus,0.000666554045861165
Belgium,0.0056224419951063295
Belize,2.0472814218228582e-05
Benin,0.0001467310023903323
Bermuda,8.071131400788106e-05
Bhutan,2.6557467955499054e-05
Bolivia,0.0004234459421566154
BonaireSintEustatiusandSaba,0.006027038024556423
BosniaandHerzegovina,0.0002037569757357255
Botswana,0.00017840551947040888
Brazil,0.020873006306223248
BritishVirginIslands,0.006027038024556423
Brunei,0.000150767809460595
Bulgaria,0.0006352264567320271
BurkinaFaso,0.0001571179172953894
Burundi,3.6413477690902e-05
Cambodia,0.00024382688783450036
Cameroon,0.0004117795398326661
Canada,0.019143479418543656
CapeVerde,2.0254108504773152e-05
CentralAfricanRepublic,2.170731705760261e-05
Chad,0.0001174537225987065
Chile,0.002966440214550306
China,0.1493813137913086
Colombia,0.003588643949656417
Comoros,1.2009376581623688e-05
Congo,0.00011958729077193986
CookIslands,0.006027038024556423
CostaRica,0.0007237341327636673
Coted'Ivoire,0.0006227776633837967
Croatia,0.0006344852594689081
Cuba,0.0010535111507942118
Curacao,3.600366693108e-05
Cyprus,0.00026400565900070637
Czechia,0.0023960823373234525
DemocraticRepublicofCongo,0.0004757264886084179
Denmark,0.0037970532074796132
Djibouti,3.205030022016301e-05
Dominica,5.871855223271585e-06
DominicanRepublic,0.0009386525857260755
Ecuador,0.00118623144687736
Egypt,0.004231215506732751
ElSalvador,0.00029018906223976325
EquatorialGuinea,0.00013379814604372217
Eritrea,0.006027038024556423
Estonia,0.00029498511002140957
Eswatini,4.927665921968285e-05
Ethiopia,0.0009149755154737292
FaeroeIslands,0.006027038024556423
Fiji,5.949005871757701e-05
Finland,0.002940375745589951
France,0.029809506307030297
FrenchGuiana,0.006027038024556423
FrenchPolynesia,0.006027038024556423
Gabon,0.00017411766522761152
Gambia,1.7168173610771384e-05
Georgia,0.0001904318831415283
Germany,0.041651608009375486
Ghana,0.0006524093862044111
Greece,0.002326208230757741
Greenland,3.0697201946185964e-05
Grenada,1.2529464455960933e-05
Guadeloupe,0.006027038024556423
Guatemala,0.0007775964518752751
Guinea,0.00012680194722341538
Guinea-Bissau,1.3706640622054972e-05
Guyana,5.4229352812998555e-05
Haiti,0.0001827185086843971
Honduras,0.00026795135331309904
HongKong,0.0038769816897720705
Hungary,0.0015764750007253065
Iceland,0.00022906255493037068
India,0.028741187789115056
Indonesia,0.011227067447494889
Iran,0.0053522608771843
Iraq,0.002201618934483576
Ireland,0.0038303664230281047
Israel,0.0038664856549656037
Italy,0.022352491807466197
Jamaica,0.00017144879598761996
Japan,0.05381237651581241
