'AFG'
'ARM', 
'AZE', 
'BHR', 
'BGD', 
'BTN', 
'IOT', 
'BRN', 
'KHM', 
'CHN', 
'CCK', 
'GEO', 
'HKG', 
'IND', 
'IDN', 
'IRN', 
'IRQ', 
'ISR', 
'JPN', 
'JOR', 
'KAZ', 
'KWT', 
'KGZ', 
'LAO', 
'LBN', 
'MAC', 
'MYS', 
'MDV', 
'MNG', 
'MMR', 
'NPL', 
'PRK', 
'OMN', 
'PAK', 
'PSE', 
'PHL', 
'QAT', 
'SAU', 
'SGP', 
'KOR', 
'LKA', 
'SYR', 
'TWN', 
'TJK', 
'THA', 
'TUR', 
'TKM', 
'ARE', 
'UZB', 
'VNM', 
'YEM'
