AFG,2015,9791093
ALB,2015,4712137
DZA,2015,160087460
AND,2015,465328
AGO,2015,25530950
AIA,2015,153888
ATG,2015,479984
ARG,2015,191743840
ARM,2015,5469323
ABW,2015,897680
AUS,2015,401793060
AUT,2015,66348824
AZE,2015,34682944
BHS,2015,2136112
BHR,2015,32459648
BGD,2015,73157550
BRB,2015,1305336
BLR,2015,58798910
BEL,2015,101061720
BLZ,2015,641200
BEN,2015,5328876
BMU,2015,538608
BTN,2015,965039
BOL,2015,21242198
BES,2015,95264
BIH,2015,18460492
BWA,2015,5421209
BRA,2015,529353020
VGB,2015,212512
BRN,2015,6933294
BGR,2015,48260532
BFA,2015,3714985
BDI,2015,394157
KHM,2015,8365610
CMR,2015,9850670
CAN,2015,574298240
CPV,2015,490976
CAF,2015,179536
TCD,2015,1684858
CHL,2015,81756504
CHN,2015,9866905000
COL,2015,95472344
COM,2015,179536
COG,2015,5662327
COK,2015,76944
CRI,2015,7406021
CIV,2015,9554741
HRV,2015,17824706
CUB,2015,29468648
CUW,2015,6924960
CYP,2015,6972964
CZE,2015,104995650
COD,2015,2792690
DNK,2015,35227976
DJI,2015,431641
DMA,2015,175872
DOM,2015,23494588
ECU,2015,41275732
EGY,2015,224479730
SLV,2015,6667772
GNQ,2015,7033481
ERI,2015,631226
EST,2015,15846900
SWZ,2015,868368
ETH,2015,12696406
FRO,2015,608224
FJI,2015,1242096
FIN,2015,44099096
FRA,2015,331580000
GUF,2015,700359
PYF,2015,846384
GAB,2015,6475559
GMB,2015,582576
GEO,2015,9756180
DEU,2015,795556600
GHA,2015,16026217
GRC,2015,74927624
GRL,2015,523816
GRD,2015,260144
GLP,2015,2463331
GTM,2015,15951889
GIN,2015,2451216
GNB,2015,278464
GUY,2015,2003336
HTI,2015,2660657
HND,2015,10347979
HKG,2015,42399920
HUN,2015,46653468
ISL,2015,3533853
IND,2015,2270766000
IDN,2015,539149250
IRN,2015,631581200
IRQ,2015,168214450
IRL,2015,38718040
ISR,2015,62939148
ITA,2015,361163170
JAM,2015,7998908
JPN,2015,1223605100
JOR,2015,25557236
KAZ,2015,301273150
KEN,2015,16295494
KIR,2015,54960
OWID_KOS,2015,8335600
KWT,2015,92447750
KGZ,2015,10278881
LAO,2015,9229252
LVA,2015,7262099
LBN,2015,25734552
LSO,2015,2242368
LBR,2015,1203323
LBY,2015,54550696
LIE,2015,159774
LTU,2015,13319679
LUX,2015,9347466
MAC,2015,1998679
MDG,2015,3227484
MWI,2015,1071325
MYS,2015,235701920
MDV,2015,1311712
MLI,2015,3270585
MLT,2015,1665291
MHL,2015,142896
MTQ,2015,2258053
MRT,2015,3002494
MUS,2015,4209936
MYT,2015,293829
MEX,2015,479519780
FSM,2015,142896
MDA,2015,4781760
MNG,2015,23282276
MNE,2015,2238704
MSR,2015,54960
MAR,2015,58495180
MOZ,2015,6312897
MMR,2015,21887144
NAM,2015,3851304
NRU,2015,54960
NPL,2015,6904657
NLD,2015,164142510
NCL,2015,4736359
NZL,2015,35813108
NIC,2015,5430953
NER,2015,2207243
NGA,2015,109231810
NIU,2015,7328
PRK,2015,24623532
MKD,2015,7020224
NOR,2015,45590000
OMN,2015,67376200
PAK,2015,166410770
PLW,2015,205184
PSE,2015,3005740
PAN,2015,10788440
PNG,2015,6502953
PRY,2015,6047637
PER,2015,49227876
PHL,2015,112449150
POL,2015,313455700
PRT,2015,52270292
QAT,2015,91327390
REU,2015,4411455
ROU,2015,77996264
RUS,2015,1629713200
RWA,2015,970185
SHN,2015,10992
KNA,2015,234496
LCA,2015,479984
SPM,2015,65952
VCT,2015,234496
WSM,2015,227168
STP,2015,120912
SAU,2015,678849300
SEN,2015,9845416
SRB,2015,43777416
SYC,2015,498304
SLE,2015,1044639.94
SGP,2015,56465904
SXM,2015,743792
SVK,2015,34468228
SVN,2015,13653307
SLB,2015,293120
SOM,2015,630208
ZAF,2015,446221020
KOR,2015,634177300
SSD,2015,1912608
ESP,2015,272164670
LKA,2015,19830282
SDN,2015,21189522
SUR,2015,2409202
SWE,2015,43741732
CHE,2015,38731820
SYR,2015,28585120
TWN,2015,275836000
TJK,2015,5302282
TZA,2015,10635198
THA,2015,289419780
TLS,2015,549600
TGO,2015,1863341
TON,2015,117248
TTO,2015,45559684
TUN,2015,30265906
TUR,2015,384330460
TKM,2015,73695300
TCA,2015,311440
TUV,2015,7328
UGA,2015,4525570
UKR,2015,223824100
ARE,2015,216377090
GBR,2015,422460800
USA,2015,5376578000
URY,2015,6742026
UZB,2015,103695920
VUT,2015,131904
VEN,2015,165853060
VNM,2015,217728750
WLF,2015,21984
OWID_WRL,2015,35558568000
YEM,2015,14083545
ZMB,2015,5064975
ZWE,2015,12254954
