Entity,Code,Year,2_1_Trade_share_GDP
Bahrain,BHR,1980,239.3489227294922
Bahrain,BHR,1981,251.13888549804688
Bahrain,BHR,1982,225.75868225097656
Bahrain,BHR,1983,189.63258361816406
Bahrain,BHR,1984,190.3302764892578
Bahrain,BHR,1985,191.6102294921875
Bahrain,BHR,1986,183.52357482910156
Bahrain,BHR,1987,189.76792907714844
Bahrain,BHR,1988,172.83241271972656
Bahrain,BHR,1989,186.27381896972656
Bahrain,BHR,1990,210.1609649658203
Bahrain,BHR,1991,180.64181518554688
Bahrain,BHR,1992,181.12403869628906
Bahrain,BHR,1993,164.60389709472656
Bahrain,BHR,1994,155.1781768798828
Bahrain,BHR,1995,152.4643096923828
Bahrain,BHR,1996,164.11541748046875
Bahrain,BHR,1997,148.5820770263672
Bahrain,BHR,1998,128.48910522460938
Bahrain,BHR,1999,141.83169555664062
Bahrain,BHR,2000,135.8091278076172
Bahrain,BHR,2001,127.0262680053711
Bahrain,BHR,2002,131.13363647460938
Bahrain,BHR,2003,128.09158325195312
Bahrain,BHR,2004,140.7373046875
Bahrain,BHR,2005,148.3135223388672
Bahrain,BHR,2006,147.10418701171875
Bahrain,BHR,2007,137.78504943847656
Bahrain,BHR,2008,145.88250732421875
Bahrain,BHR,2009,117.9637222290039
Bahrain,BHR,2010,120.47239685058594
Bahrain,BHR,2011,174.1552734375
Bahrain,BHR,2012,185.8846435546875
Bahrain,BHR,2013,191.87255859375
Bahrain,BHR,2014,175.56784057617188
Bahrain,BHR,2015,154.93138122558594
Bahrain,BHR,2016,139.6205596923828
Bahrain,BHR,2017,143.086669921875
Bahrain,BHR,2018,150.81243896484375
Bahrain,BHR,2019,141.7035369873047
Bangladesh,BGD,1960,19.303943634033203
Bangladesh,BGD,1961,22.48235321044922
Bangladesh,BGD,1962,21.554847717285156
Bangladesh,BGD,1963,21.63976287841797
Bangladesh,BGD,1964,24.1502685546875
Bangladesh,BGD,1965,23.029314041137695
Bangladesh,BGD,1966,22.93610382080078
Bangladesh,BGD,1967,21.901859283447266
Bangladesh,BGD,1968,19.9371395111084
Bangladesh,BGD,1969,19.811321258544922
Bangladesh,BGD,1970,20.82059669494629
Bangladesh,BGD,1971,17.019071578979492
Bangladesh,BGD,1972,19.407289505004883
Bangladesh,BGD,1973,18.394657135009766
Bangladesh,BGD,1974,14.049620628356934
Bangladesh,BGD,1975,10.995626449584961
Bangladesh,BGD,1976,22.382274627685547
Bangladesh,BGD,1977,19.422197341918945
Bangladesh,BGD,1978,21.038515090942383
Bangladesh,BGD,1979,21.90706443786621
Bangladesh,BGD,1980,23.37723159790039
Bangladesh,BGD,1981,19.247159957885742
Bangladesh,BGD,1982,20.606924057006836
Bangladesh,BGD,1983,20.31688117980957
Bangladesh,BGD,1984,16.81172752380371
Bangladesh,BGD,1985,18.222185134887695
Bangladesh,BGD,1986,17.018741607666016
Bangladesh,BGD,1987,16.68779754638672
Bangladesh,BGD,1988,17.678064346313477
Bangladesh,BGD,1989,18.32517433166504
Bangladesh,BGD,1990,18.966501235961914
Bangladesh,BGD,1991,18.889827728271484
Bangladesh,BGD,1992,19.934005737304688
Bangladesh,BGD,1993,23.121583938598633
Bangladesh,BGD,1994,22.865863800048828
Bangladesh,BGD,1995,28.209495544433594
Bangladesh,BGD,1996,26.076087951660156
Bangladesh,BGD,1997,26.32551383972168
Bangladesh,BGD,1998,27.880064010620117
Bangladesh,BGD,1999,28.387941360473633
Bangladesh,BGD,2000,29.321714401245117
Bangladesh,BGD,2001,32.098018646240234
Bangladesh,BGD,2002,28.96738052368164
Bangladesh,BGD,2003,27.65788459777832
Bangladesh,BGD,2004,26.858234405517578
Bangladesh,BGD,2005,34.396934509277344
Bangladesh,BGD,2006,38.11192321777344
Bangladesh,BGD,2007,39.9423828125
Bangladesh,BGD,2008,42.620914459228516
Bangladesh,BGD,2009,40.092796325683594
Bangladesh,BGD,2010,37.80284118652344
Bangladesh,BGD,2011,47.42084884643555
Bangladesh,BGD,2012,48.110923767089844
Bangladesh,BGD,2013,46.29640197753906
Bangladesh,BGD,2014,44.51408004760742
Bangladesh,BGD,2015,42.085994720458984
Bangladesh,BGD,2016,37.95429611206055
