Brunei BRN 2002 451495936
Brunei BRN 2003 351720448
Brunei BRN 2004 62855168
Brunei BRN 2005 48540672
Brunei BRN 2006 553007104
Brunei BRN 2007 20293632
Brunei BRN 2008 -255037440
Brunei BRN 2009 -227504128
Brunei BRN 2010 329176064
Brunei BRN 2011 486695936
Brunei BRN 2012 123065344
Brunei BRN 2013 -289236992
Brunei BRN 2014 -333995008
Brunei BRN 2015 -50936832
Brunei BRN 2016 -320404480
Brunei BRN 2017 167536640
Brunei BRN 2018 6674432
Brunei BRN 2019 494635008
Brunei BRN 2020 150524928
Cambodia KHM 1994 -2010202368
Cambodia KHM 1995 372846592
Cambodia KHM 1996 244018432
Cambodia KHM 1997 175557120
Cambodia KHM 1998 213352448
Cambodia KHM 1999 606120448
Cambodia KHM 2000 537325056
Cambodia KHM 2001 481897984
Cambodia KHM 2002 420784128
Cambodia KHM 2003 579822080
Cambodia KHM 2004 764840448
Cambodia KHM 2005 1081388544
Cambodia KHM 2006 995546112
Cambodia KHM 2007 1045594112
Cambodia KHM 2008 755070976
Cambodia KHM 2009 10437632
Cambodia KHM 2010 718515200
Cambodia KHM 2011 902637568
Cambodia KHM 2012 999775232
Cambodia KHM 2013 1079247872
Cambodia KHM 2014 1124925440
Cambodia KHM 2015 1175443456
Cambodia KHM 2016 1251461120
Cambodia KHM 2017 1350500352
Cambodia KHM 2018 1542526976
Cambodia KHM 2019 1565620224
Cambodia KHM 2020 -747870208
China CHN 1961 -43333984256
China CHN 1962 -6448988160
China CHN 1963 11239792640
China CHN 1964 21882175488
China CHN 1965 24110727168
China CHN 1966 17717002240
China CHN 1967 -10621059072
China CHN 1968 -7111573504
China CHN 1969 28178219008
China CHN 1970 37542264832
China CHN 1971 16383557632
China CHN 1972 9465757696
China CHN 1973 20013907968
China CHN 1974 6420070400
China CHN 1975 24794890240
China CHN 1976 -4853497856
China CHN 1977 23034462208
China CHN 1978 37072306176
China CHN 1979 27662254080
China CHN 1980 30714200064
China CHN 1981 21615214592
China CHN 1982 40070676480
China CHN 1983 52176846848
China CHN 1984 81522753536
China CHN 1985 83022381056
China CHN 1986 62755110912
China CHN 1987 89054904320
China CHN 1988 95727386624
China CHN 1989 39906115584
China CHN 1990 38756417536
China CHN 1991 95163777024
China CHN 1992 159676235776
China CHN 1993 178019500032
China CHN 1994 190368317440
China CHN 1995 180806615040
China CHN 1996 181722808320
China CHN 1997 185948831744
China CHN 1998 172538986496
China CHN 1999 181705637888
China CHN 2000 216779718656
China CHN 2001 230909018112
China CHN 2002 274101698560
China CHN 2003 328757411840
China CHN 2004 364482396160
China CHN 2005 452178477056
China CHN 2006 562334531584
China CHN 2007 709105287168
China CHN 2008 549314363392
China CHN 2009 586601725952
China CHN 2010 726205988864
China CHN 2011 721479008256
China CHN 2012 650770382848
China CHN 2013 693233516544
China CHN 2014 714326671360
China CHN 2015 727644635136
China CHN 2016 757579382784
China CHN 2017 821098971136
China CHN 2018 853187493888
China CHN 2019 802819145728
China CHN 2020 335606185984
Hong Kong HKG 1962 1791141888
Hong Kong HKG 1963 2257996800
Hong Kong HKG 1964 1430766592
Hong Kong HKG 1965 2637498368
Hong Kong HKG 1966 370636800
Hong Kong HKG 1967 337049600
Hong Kong HKG 1968 725647360
Hong Kong HKG 1969 2505009152
Hong Kong HKG 1970 2263828480
Hong Kong HKG 1971 1958383616
Hong Kong HKG 1972 3057350656
Hong Kong HKG 1973 3913271296
Hong Kong HKG 1974 864198656
Hong Kong HKG 1975 180301824
Hong Kong HKG 1976 5952593920
Hong Kong HKG 1977 5016084480
Hong Kong HKG 1978 3948257280
Hong Kong HKG 1979 5979766784
Hong Kong HKG 1980 5834682368
Hong Kong HKG 1981 5885882368
Hong Kong HKG 1982 2048417792
Hong Kong HKG 1983 4273061888
Hong Kong HKG 1984 7556661248
Hong Kong HKG 1985 630833152
Hong Kong HKG 1986 9281912832
Hong Kong HKG 1987 12492046336
Hong Kong HKG 1988 8998977536
Hong Kong HKG 1989 2612305920
Hong Kong HKG 1990 4494655488
Hong Kong HKG 1991 6946824192
Hong Kong HKG 1992 8029356032
Hong Kong HKG 1993 8483602432
Hong Kong HKG 1994 8769929216
Hong Kong HKG 1995 3657039872
Hong Kong HKG 1996 6716375040
Hong Kong HKG 1997 8385642496
Hong Kong HKG 1998 -10166403072
Hong Kong HKG 1999 4077240320
Hong Kong HKG 2000 12777439232
Hong Kong HKG 2001 1006829568
Hong Kong HKG 2002 2990522368
Hong Kong HKG 2003 5608423424
Hong Kong HKG 2004 16453140480
Hong Kong HKG 2005 15187738624
Hong Kong HKG 2006 15524904960
Hong Kong HKG 2007 15275098112
Hong Kong HKG 2008 5352898560
Hong Kong HKG 2009 -6317752320
Hong Kong HKG 2010 16959176704
Hong Kong HKG 2011 12881690624
Hong Kong HKG 2012 4768268288
Hong Kong HKG 2013 8845590528
Hong Kong HKG 2014 8122662912
Hong Kong HKG 2015 7215185920
Hong Kong HKG 2016 6712066048
Hong Kong HKG 2017 11983192064
Hong Kong HKG 2018 9338617856
Hong Kong HKG 2019 -5667815424
Hong Kong HKG 2020 -20175224832
India IND 1961 5076623360
India IND 1962 4145938432
India IND 1963 8727216128
India IND 1964 11501223936
India IND 1965 -4370612224
India IND 1966 -89325568
India IND 1967 12627918848
India IND 1968 5894553600
India IND 1969 11763712000
India IND 1970 9883598848
India IND 1971 3310977024
India IND 1972 -1133379584
India IND 1973 6713196544
India IND 1974 2494169088
India IND 1975 19481444352
India IND 1976 3864969216
India IND 1977 17140137984
India IND 1978 14475575296
India IND 1979 -14031831040
India IND 1980 17098489856
India IND 1981 16273358848
India IND 1982 9982869504
India IND 1983 21662498816
India IND 1984 12182880256
India IND 1985 17394040832
India IND 1986 16643391488
India IND 1987 14476771328
India IND 1988 36543070208
India IND 1989 24747016192
India IND 1990 24394137600
India IND 1991 4916838400
India IND 1992 25775996928
India IND 1993 23560781824
India IND 1994 34592849920
India IND 1995 41969451008
India IND 1996 44999573504
India IND 1997 25961758720
India IND 1998 41251241984
India IND 1999 62651957248
India IND 2000 29611130880
India IND 2001 38617481216
India IND 2002 31921143808
India IND 2003 68469653504
India IND 2004 74439327744
India IND 2005 80342155264
India IND 2006 88210538496
India IND 2007 90591854592
India IND 2008 39297482752
India IND 2009 103181320192
India IND 2010 120292245504
India IND 2011 80501276672
India IND 2012 88197038080
India IND 2013 108857262080
India IND 2014 134381043712
India IND 2015 155753644032
India IND 2016 173678657536
India IND 2017 154749108224
India IND 2018 158883119104
India IND 2019 104712634368
India IND 2020 -195479207936
Indonesia IDN 1961 3029774336
Indonesia IDN 1962 1027960832
Indonesia IDN 1963 -1271422976
Indonesia IDN 1964 1961238528
Indonesia IDN 1965 622186496
Indonesia IDN 1966 1623093248
Indonesia IDN 1967 825073664
Indonesia IDN 1968 6614106112
Indonesia IDN 1969 4585242624
Indonesia IDN 1970 5423841280
Indonesia IDN 1971 5423833088
Indonesia IDN 1972 5816090624
Indonesia IDN 1973 7168663552
Indonesia IDN 1974 7300833280
Indonesia IDN 1975 5123039232
Indonesia IDN 1976 7441014784
Indonesia IDN 1977 10118643712
Indonesia IDN 1978 8500174848
Indonesia IDN 1979 9822707712
Indonesia IDN 1980 14220754944
Indonesia IDN 1981 12537151488
Indonesia IDN 1982 3834494976
Indonesia IDN 1983 7317831680
Indonesia IDN 1984 12684574720
Indonesia IDN 1985 4789567488
Indonesia IDN 1986 11710021632
Indonesia IDN 1987 10395090944
Indonesia IDN 1988 12799361024
Indonesia IDN 1989 17465016320
Indonesia IDN 1990 18227544064
Indonesia IDN 1991 18656477184
Indonesia IDN 1992 18749980672
Indonesia IDN 1993 19964854272
Indonesia IDN 1994 24677285888
Indonesia IDN 1995 28931457024
Indonesia IDN 1996 29779099648
Indonesia IDN 1997 19301171200
Indonesia IDN 1998 -56441700352
Indonesia IDN 1999 2955149312
Indonesia IDN 2000 18523488256
Indonesia IDN 2001 14392164352
Indonesia IDN 2002 18421055488
Indonesia IDN 2003 20451622912
Indonesia IDN 2004 22552281088
Indonesia IDN 2005 26802290688
Indonesia IDN 2006 27374485504
Indonesia IDN 2007 33311752192
Indonesia IDN 2008 33575600128
Indonesia IDN 2009 27397980160
Indonesia IDN 2010 38543818752
Indonesia IDN 2011 40587034624
Indonesia IDN 2012 42115203072
Indonesia IDN 2013 41153658880
Indonesia IDN 2014 39136722944
Indonesia IDN 2015 40026177536
Indonesia IDN 2016 43327422464
Indonesia IDN 2017 45840072704
Indonesia IDN 2018 49156849664
Indonesia IDN 2019 50140413952
Indonesia IDN 2020 -21716140032
Japan JPN 1961 70285459456
Japan JPN 1962 58254032896
Japan JPN 1963 60343779328
Japan JPN 1964 90200080384
Japan JPN 1965 50205360128
Japan JPN 1966 97117732864
Japan JPN 1967 111929851904
