Entity,Code,Year,"Annual freshwater withdrawals, total (billion cubic meters)"
Namibia,NAM,1992,254700005.05447388
Namibia,NAM,1997,274899989.3665314
Namibia,NAM,2002,281899988.65127563
Namibia,NAM,2007,281899988.65127563
Namibia,NAM,2012,281899988.65127563
Namibia,NAM,2017,281899988.65127563
Nepal,NPL,2002,9536339759.82666
Nepal,NPL,2007,9497099876.403809
Nepal,NPL,2012,9497099876.403809
Nepal,NPL,2017,9497099876.403809
Netherlands,NLD,1982,9258399963.378906
Netherlands,NLD,1987,8802599906.921387
Netherlands,NLD,1992,7687799930.57251
Netherlands,NLD,1997,6988500118.255615
Netherlands,NLD,2002,9573575019.836426
Netherlands,NLD,2007,10939999580.3833
Netherlands,NLD,2012,10720000267.028809
Netherlands,NLD,2017,7988399982.452393
New Zealand,NZL,1982,1480000019.0734863
New Zealand,NZL,1987,2077142953.8726807
New Zealand,NZL,1992,2519999980.9265137
New Zealand,NZL,1997,2962857246.398926
New Zealand,NZL,2002,3897714376.449585
New Zealand,NZL,2007,4981249809.265137
New Zealand,NZL,2012,7538000106.811523
New Zealand,NZL,2017,9875000000
Nicaragua,NIC,2002,1455828547.4777222
Nicaragua,NIC,2007,1530799984.9319458
Nicaragua,NIC,2012,1543300032.6156616
Nicaragua,NIC,2017,1543300032.6156616
Niger,NER,1992,613788247.1084595
Niger,NER,1997,756023526.1917114
Niger,NER,2002,898258805.2749634
Niger,NER,2007,1100911140.4418945
Niger,NER,2012,1394188880.9204102
Niger,NER,2017,1747200012.2070312
Nigeria,NGA,1987,5590000152.587891
Nigeria,NGA,1992,7400846004.486084
Nigeria,NGA,1997,9215384483.337402
Nigeria,NGA,2002,10810199737.548828
Nigeria,NGA,2007,11931400299.072266
Nigeria,NGA,2012,12472000122.070312
Nigeria,NGA,2017,12472000122.070312
North America,,2017,480126098632.8125
North Korea,PRK,2002,8596480369.567871
North Korea,PRK,2007,8657799720.76416
North Korea,PRK,2012,8657799720.76416
North Korea,PRK,2017,8657799720.76416
North Macedonia,MKD,1997,1339249968.5287476
North Macedonia,MKD,2002,633199989.7956848
North Macedonia,MKD,2007,551199972.6295471
North Macedonia,MKD,2012,632799983.0245972
North Macedonia,MKD,2017,1044000029.5639038
Norway,NOR,1982,2052500009.5367432
Norway,NOR,1987,2183706283.569336
Norway,NOR,1992,2314924955.368042
Norway,NOR,1997,2396033287.04834
Norway,NOR,2002,2554042816.1621094
Norway,NOR,2007,3026000022.8881836
Norway,NOR,2012,2731800079.345703
Norway,NOR,2017,2691099882.1258545
Oman,OMN,1992,1210631370.5444336
Oman,OMN,1997,1244787931.4422607
Oman,OMN,2002,1256500005.722046
Oman,OMN,2007,1365200042.7246094
Oman,OMN,2012,1589200019.8364258
Oman,OMN,2017,1633999943.7332153
Pakistan,PAK,1977,153647003173.82812
Pakistan,PAK,1982,154344497680.66406
Pakistan,PAK,1987,155042007446.28906
Pakistan,PAK,1992,157484451293.9453
Pakistan,PAK,1997,166906661987.3047
Pakistan,PAK,2002,175111495971.6797
Pakistan,PAK,2007,181946243286.1328
Pakistan,PAK,2012,187880004882.8125
Pakistan,PAK,2017,200000000000
Palestine,PSE,2001,268999993.80111694
Palestine,PSE,2005,407999992.37060547
Panama,PAN,2012,1155533313.7512207
Panama,PAN,2017,1211400032.043457
Papua New Guinea,PNG,2002,319680005.31196594
Papua New Guinea,PNG,2007,392100006.3419342
Papua New Guinea,PNG,2012,392100006.3419342
Papua New Guinea,PNG,2017,392100006.3419342
Paraguay,PRY,1987,430000007.1525574
Paraguay,PRY,1992,453076928.85398865
Paraguay,PRY,1997,476153850.5554199
Paraguay,PRY,2002,823969721.7941284
Paraguay,PRY,2007,1658893942.8329468
Paraguay,PRY,2012,2413000106.8115234
Paraguay,PRY,2017,2413000106.8115234
Peru,PER,2012,14837268829.345703
Peru,PER,2017,16109537124.63379
Philippines,PHL,2007,81496002197.26562
Philippines,PHL,2012,84248001098.63281
Philippines,PHL,2017,92750000000
Poland,POL,1972,11480600357.055664
Poland,POL,1977,14171600341.796875
Poland,POL,1982,15643799781.799316
Poland,POL,1987,15914600372.314453
Poland,POL,1992,13380000114.440918
Poland,POL,1997,12793000221.252441
Poland,POL,2002,11718999862.670898
Poland,POL,2007,12020000457.763672
Poland,POL,2012,11470000267.028809
Poland,POL,2017,10079999923.706055
Portugal,PRT,1992,10070161819.458008
Portugal,PRT,1997,11706971168.518066
Portugal,PRT,2002,11253685951.23291
Portugal,PRT,2007,9145999908.447266
Portugal,PRT,2012,9145999908.447266
Portugal,PRT,2017,9145999908.447266
Puerto Rico,PRI,1992,809360027.3132324
Puerto Rico,PRI,1997,838760018.3486938
Puerto Rico,PRI,2002,913200020.7901001
Puerto Rico,PRI,2007,1005839943.8858032
Puerto Rico,PRI,2012,960200011.7301941
Puerto Rico,PRI,2017,875000000
Qatar,QAT,1977,164199993.01433563
Qatar,QAT,1982,199699997.9019165
Qatar,QAT,1987,235200002.78949738
Qatar,QAT,1992,188700005.41210175
Qatar,QAT,1997,162300005.5551529
Qatar,QAT,2002,186739996.0756302
Qatar,QAT,2007,225299999.11785126
Qatar,QAT,2012,246050000.19073486
Qatar,QAT,2017,250800013.5421753
Romania,ROU,1972,11513999938.964844
Romania,ROU,1977,16159999847.41211
Romania,ROU,1982,19479999542.23633
Romania,ROU,1987,20464000701.904297
Romania,ROU,1992,20096666336.05957
Romania,ROU,1997,12460000038.146973
Romania,ROU,2002,9222000122.070312
Romania,ROU,2007,6883999824.523926
Romania,ROU,2012,6481999874.11499
Romania,ROU,2017,6772999763.48877
Russia,RUS,1992,99599998474.1211
Russia,RUS,1997,72498573303.22266
Russia,RUS,2002,65766670227.05078
Russia,RUS,2007,63599998474.12109
Russia,RUS,2012,64000000000
Russia,RUS,2017,64410003662.109375
Rwanda,RWA,2002,163560003.04222107
Rwanda,RWA,2007,183899998.66485596
Rwanda,RWA,2012,183899998.66485596
Rwanda,RWA,2017,183899998.66485596
Saint Kitts and Nevis,KNA,2012,12199999.764561653
Saint Kitts and Nevis,KNA,2017,12199999.764561653
Saint Lucia,LCA,2007,42899999.767541885
Saint Lucia,LCA,2012,42899999.767541885
Saint Lucia,LCA,2017,42899999.767541885
Saint Vincent and the Grenadines,VCT,1997,9899999.94635582
Saint Vincent and the Grenadines,VCT,2002,9417444.467544556
Saint Vincent and the Grenadines,VCT,2007,9100000.374019146
Saint Vincent and the Grenadines,VCT,2012,8100000.210106373
Saint Vincent and the Grenadines,VCT,2017,7899999.618530273
Sao Tome and Principe,STP,1997,12895652.09299326
Sao Tome and Principe,STP,2002,20265217.87047386
Sao Tome and Principe,STP,2007,27634782.71663189
Sao Tome and Principe,STP,2012,35004347.56278992
Sao Tome and Principe,STP,2017,40899999.43971634
Saudi Arabia,SAU,1992,16120000839.233398
Saudi Arabia,SAU,1997,18368625640.86914
Saudi Arabia,SAU,2002,20346725463.867188
Saudi Arabia,SAU,2007,22467082977.29492
Saudi Arabia,SAU,2012,21602500915.527344
Saudi Arabia,SAU,2017,21200000762.939453
Senegal,SEN,1987,1360000014.3051147
Senegal,SEN,1992,1448442339.8971558
Senegal,SEN,1997,1536884665.4891968
Senegal,SEN,2002,2220949888.22937
Senegal,SEN,2007,2220949888.22937
Senegal,SEN,2012,2220949888.22937
Senegal,SEN,2017,2220949888.22937
Serbia,SRB,2007,3957799911.4990234
Serbia,SRB,2012,4402999877.9296875
Serbia,SRB,2017,5376999855.041504
Seychelles,SYC,1992,11770143.173635006
Seychelles,SYC,1997,11553714.05184269
Seychelles,SYC,2002,11337285.861372948
Seychelles,SYC,2007,11293999.85074997
Seychelles,SYC,2012,11293999.85074997
Seychelles,SYC,2017,11293999.85074997
Sierra Leone,SLE,1987,370000004.7683716
Sierra Leone,SLE,1992,126007691.02573395
Sierra Leone,SLE,1997,165315389.6331787
Sierra Leone,SLE,2002,198219999.67098236
Sierra Leone,SLE,2007,212200000.88214874
Sierra Leone,SLE,2012,212200000.88214874
Sierra Leone,SLE,2017,212200000.88214874
Singapore,SGP,1977,326045006.5135956
Singapore,SGP,1982,666157484.0545654
Singapore,SGP,1987,1006270051.0025024
Singapore,SGP,1992,1339182496.0708618
Singapore,SGP,1997,1679294943.8095093
Singapore,SGP,2002,2029471397.3999023
Singapore,SGP,2007,1890367984.7717285
Singapore,SGP,2012,960200488.5673523
Singapore,SGP,2017,492100000.3814697
Slovakia,SVK,1997,1309999942.779541
Slovakia,SVK,2002,1094400048.2559204
Slovakia,SVK,2007,687900006.7710876
Slovakia,SVK,2012,665300011.6348267
Slovakia,SVK,2017,556299984.4551086
Slovenia,SVN,2002,899200022.2206116
Slovenia,SVN,2007,935400009.1552734
Slovenia,SVN,2012,927999973.2971191
Slovenia,SVN,2017,931400001.0490417
Somalia,SOM,1987,810000002.3841858
Somalia,SOM,1992,1763807654.3807983
Somalia,SOM,1997,2717615365.9820557
Somalia,SOM,2002,3295300006.866455
Somalia,SOM,2007,3298000097.2747803
Somalia,SOM,2012,3298000097.2747803
Somalia,SOM,2017,3298000097.2747803
South Africa,ZAF,1992,13128199577.331543
South Africa,ZAF,1997,12840000152.58789
South Africa,ZAF,2002,12800949096.679688
South Africa,ZAF,2007,12970820426.940918
South Africa,ZAF,2012,13663692474.365234
South Africa,ZAF,2017,19379999160.7666
South Asia,,2017,926437683105.4688
South Korea,KOR,1992,21961427688.598633
South Korea,KOR,1997,25440000534.057617
South Korea,KOR,2002,29167999267.578125
South Korea,KOR,2007,29197000503.54004
South Korea,KOR,2012,29197000503.54004
South Korea,KOR,2017,29197000503.54004
South Sudan,SSD,2012,657999992.3706055
South Sudan,SSD,2017,657999992.3706055
Spain,ESP,1977,37616001129.15039
Spain,ESP,1982,42051998138.427734
Spain,ESP,1987,44041599273.68164
Spain,ESP,1992,36416667938.23242
Spain,ESP,1997,34500000000
Spain,ESP,2002,35506999969.48242
Spain,ESP,2007,34976001739.50195
Spain,ESP,2012,36750000000
Spain,ESP,2017,31224000930.786133
Sri Lanka,LKA,1992,10417320251.464844
Sri Lanka,LKA,1997,12038120269.77539
Sri Lanka,LKA,2002,12984760284.423828
Sri Lanka,LKA,2007,12946000099.182129
Sri Lanka,LKA,2012,12946000099.182129
Sri Lanka,LKA,2017,12946000099.182129
Sub-Saharan Africa,,2017,126898040771.48438
Sudan,SDN,2012,26934999465.942383
Sudan,SDN,2017,26934999465.942383
Suriname,SUR,1987,460000008.34465027
Suriname,SUR,1992,540769219.3984985
Suriname,SUR,1997,621538460.2546692
Suriname,SUR,2002,651966691.0171509
Suriname,SUR,2007,615899980.0682068
Suriname,SUR,2012,615899980.0682068
Suriname,SUR,2017,615899980.0682068
Sweden,SWE,1972,4097799777.984619
Sweden,SWE,1977,4123400211.3342285
Sweden,SWE,1982,3651599884.033203
Sweden,SWE,1987,2971499919.8913574
Sweden,SWE,1992,2973000049.5910645
Sweden,SWE,1997,2710999965.6677246
Sweden,SWE,2002,2676000118.255615
Sweden,SWE,2007,2630000114.440918
Sweden,SWE,2012,2563400030.1361084
Sweden,SWE,2017,2375000000
Switzerland,CHE,1977,2594399929.046631
Switzerland,CHE,1982,2611799955.368042
Switzerland,CHE,1987,2660000085.8306885
Switzerland,CHE,1992,2694999933.242798
Switzerland,CHE,1997,2558099985.1226807
Switzerland,CHE,2002,2517999887.4664307
Switzerland,CHE,2007,2261250019.0734863
Switzerland,CHE,2012,2004499912.261963
Switzerland,CHE,2017,1733999967.5750732
Syria,SYR,1977,4387555599.2126465
Syria,SYR,1982,7006444454.193115
Syria,SYR,1987,9625333786.010742
Syria,SYR,1992,12244222640.99121
Syria,SYR,1997,14427000045.776367
Syria,SYR,2002,16358999252.319336
Syria,SYR,2007,14144399642.944336
Syria,SYR,2012,13964400291.442871
Syria,SYR,2017,13964400291.442871
Tajikistan,TJK,1997,11590000152.58789
Tajikistan,TJK,2002,11504933357.23877
Tajikistan,TJK,2007,11108689308.166504
Tajikistan,TJK,2012,10678133010.864258
Tajikistan,TJK,2017,10419799804.6875
Tanzania,TZA,1997,2872281312.942505
Tanzania,TZA,2002,5184000015.258789
Tanzania,TZA,2007,5184000015.258789
Tanzania,TZA,2012,5184000015.258789
Tanzania,TZA,2017,5184000015.258789
Thailand,THA,2007,57306999206.54297
Thailand,THA,2012,57306999206.54297
Thailand,THA,2017,57306999206.54297
Timor,TLS,2007,1172000050.5447388
Timor,TLS,2012,1172000050.5447388
Timor,TLS,2017,1172000050.5447388
Togo,TGO,1987,90999998.15225601
Togo,TGO,1992,121256411.07559204
Togo,TGO,1997,151512816.54834747
Togo,TGO,2002,168999999.76158142
Togo,TGO,2007,223000004.88758087
Togo,TGO,2012,223000004.88758087
Togo,TGO,2017,223000004.88758087
Trinidad and Tobago,TTO,1997,296999990.940094
Trinidad and Tobago,TTO,2002,326400011.7778778
Trinidad and Tobago,TTO,2007,318066656.58950806
Trinidad and Tobago,TTO,2012,336199998.8555908
Trinidad and Tobago,TTO,2017,336199998.8555908
Tunisia,TUN,1977,1401999950.4089355
Tunisia,TUN,1982,2059999942.779541
Tunisia,TUN,1987,2609999895.095825
Tunisia,TUN,1992,2979799985.88562
Tunisia,TUN,1997,2760200023.651123
Tunisia,TUN,2002,2823999881.744385
Tunisia,TUN,2007,2898999929.4281006
Tunisia,TUN,2012,3475500106.8115234
Tunisia,TUN,2017,4768000125.88501
Turkey,TUR,1992,31599500656.12793
Turkey,TUR,1997,34973606109.61914
Turkey,TUR,2002,39878334045.41016
Turkey,TUR,2007,41469623565.67383
Turkey,TUR,2012,50509998321.5332
Turkey,TUR,2017,60009998321.5332
Turkmenistan,TKM,1997,24262550354.003906
Turkmenistan,TKM,2002,26002367019.65332
Turkmenistan,TKM,2007,27864999771.118164
Turkmenistan,TKM,2012,27864999771.118164
Turkmenistan,TKM,2017,27864999771.118164
Uganda,UGA,1972,208639994.263649
Uganda,UGA,1977,230240002.27451324
Uganda,UGA,1982,251839995.3842163
Uganda,UGA,1987,273440003.39508057
Uganda,UGA,1992,295040011.4059448
Uganda,UGA,1997,316639989.6144867
Uganda,UGA,2002,361550003.2901764
Uganda,UGA,2007,591091692.4476624
Uganda,UGA,2012,637000024.3186951
Uganda,UGA,2017,637000024.3186951
Ukraine,UKR,1992,26000000000
Ukraine,UKR,1997,21177000045.776367
Ukraine,UKR,2002,17002399444.580078
Ukraine,UKR,2007,14987999916.07666
Ukraine,UKR,2012,12874500274.658203
Ukraine,UKR,2017,8635000228.881836
United Arab Emirates,ARE,1982,1061066627.5024414
United Arab Emirates,ARE,1987,1463733315.4678345
United Arab Emirates,ARE,1992,1614599943.1610107
United Arab Emirates,ARE,1997,2041440010.0708008
United Arab Emirates,ARE,2002,2249986648.5595703
United Arab Emirates,ARE,2007,2770727157.5927734
United Arab Emirates,ARE,2012,2697545528.411865
United Arab Emirates,ARE,2017,2562000036.239624
United Kingdom,GBR,1982,12687999725.341797
United Kingdom,GBR,1987,11708000183.105469
United Kingdom,GBR,1992,12048000335.69336
United Kingdom,GBR,1997,12247581481.933594
United Kingdom,GBR,2002,12641536712.646484
United Kingdom,GBR,2007,8512999534.606934
United Kingdom,GBR,2012,8017000198.364258
United Kingdom,GBR,2017,8418999671.936035
United States,USA,1982,507100006103.5156
United States,USA,1987,480850006103.5156
United States,USA,1992,466799987792.96875
United States,USA,1997,471049987792.96875
United States,USA,2002,475600006103.5156
United States,USA,2007,454679992675.78125
United States,USA,2012,429038452148.4375
United States,USA,2017,444396118164.0625
Upper middle income,,2017,1199041503906.25
Uruguay,URY,1967,822000026.7028809
Uruguay,URY,1972,1251999974.2507935
Uruguay,URY,1977,1682000041.0079956
Uruguay,URY,1982,2111999988.5559082
Uruguay,URY,1987,2542000055.3131104
Uruguay,URY,1992,2971999883.6517334
Uruguay,URY,1997,3401999950.4089355
Uruguay,URY,2002,3660000085.8306885
Uruguay,URY,2007,3660000085.8306885
Uruguay,URY,2012,3660000085.8306885
Uruguay,URY,2017,3660000085.8306885
Uzbekistan,UZB,1997,53571144104.00391
Uzbekistan,UZB,2002,52595001220.703125
Uzbekistan,UZB,2007,49448890686.03516
Uzbekistan,UZB,2012,50171112060.546875
Uzbekistan,UZB,2017,58900001525.87891
Venezuela,VEN,1972,4430593490.600586
Venezuela,VEN,1977,5258289813.995361
Venezuela,VEN,1982,6085639953.613281
Venezuela,VEN,1987,6912990093.231201
Venezuela,VEN,1992,7735139846.801758
Venezuela,VEN,1997,8562490463.256836
Venezuela,VEN,2002,13027779579.162598
Venezuela,VEN,2007,22621099472.0459
Venezuela,VEN,2012,22621099472.0459
Venezuela,VEN,2017,22621099472.0459
Vietnam,VNM,1982,40824001312.25586
Vietnam,VNM,1987,47769199371.33789
Vietnam,VNM,1992,55577201843.26172
Vietnam,VNM,1997,65725196838.37891
Vietnam,VNM,2002,75900398254.39453
Vietnam,VNM,2007,81861999511.71875
Vietnam,VNM,2012,81861999511.71875
Vietnam,VNM,2017,81861999511.71875
World,OWID_WRL,2017,3880971191406.25
Yemen,YEM,1992,3015599966.0491943
Yemen,YEM,1997,3249599933.6242676
Yemen,YEM,2002,3456399917.602539
Yemen,YEM,2007,3565000057.220459
Yemen,YEM,2012,3565000057.220459
Yemen,YEM,2017,3565000057.220459
Zambia,ZMB,1992,1746999979.019165
Zambia,ZMB,1997,1655750036.239624
Zambia,ZMB,2002,1572000026.7028809
Zambia,ZMB,2007,1572000026.7028809
Zambia,ZMB,2012,1572000026.7028809
Zambia,ZMB,2017,1572000026.7028809
Zimbabwe,ZWE,1987,1220000028.6102295
Zimbabwe,ZWE,1992,2214999914.1693115
Zimbabwe,ZWE,1997,3210000038.1469727
Zimbabwe,ZWE,2002,4204999923.7060547
Zimbabwe,ZWE,2007,3569999933.242798
Zimbabwe,ZWE,2012,3460624933.242798
Zimbabwe,ZWE,2017,3338999986.6485596
