Entity,Code,Year,4_0_RichestShare
Bangladesh,BGD,1983,21.86562999358458
Bangladesh,BGD,1988,24.58222991201233
Bangladesh,BGD,1991,23.287869200028517
Bangladesh,BGD,1995,28.082972381126382
Bangladesh,BGD,2000,27.863741625497777
Bangladesh,BGD,2005,27.99544777196532
Bangladesh,BGD,2010,26.925356199793498
Bangladesh,BGD,2016,26.835072184627016
Bhutan,BTN,2003,32.217647641351036
Bhutan,BTN,2007,29.36851312066856
Bhutan,BTN,2012,30.73817952836032
Bhutan,BTN,2017,27.93155408176457
China,CHN,1981,21.73496970984172
China,CHN,1984,21.303040046684497
China,CHN,1987,22.434565272919098
China,CHN,1990,25.79524155479387
China,CHN,1993,26.622990823418817
China,CHN,1996,27.29834543870071
China,CHN,1999,29.38699711280392
China,CHN,2002,31.43083138056168
China,CHN,2005,30.8615602981931
China,CHN,2008,31.965973158693373
China,CHN,2010,32.6325294096877
China,CHN,2011,31.818484023813298
China,CHN,2012,31.54291418964979
China,CHN,2013,30.281720510371628
China,CHN,2014,29.69338778103814
China,CHN,2015,29.41269842467379
China,CHN,2016,29.350650327904322
China,CHN,2017,29.86473498254719
China,CHN,2018,29.43410789844864
China,CHN,2019,29.4963511761464
India,IND,1977,27.50758994209084
India,IND,1983,26.41488695813174
India,IND,1987,27.534790576704182
India,IND,1993,26.66824100980147
India,IND,2004,29.1505008506603
India,IND,2009,29.962316295082182
India,IND,2011,30.142651356925672
India,IND,2015,29.729286559122496
India,IND,2016,29.71173535603338
India,IND,2017,30.49848688442573
India,IND,2018,28.378772696702192
India,IND,2019,30.62390803334367
Indonesia,IDN,1984,26.97024728653895
Indonesia,IDN,1987,26.13278544724279
Indonesia,IDN,1990,26.986604998813313
Indonesia,IDN,1993,27.84967977240484
Indonesia,IDN,1996,29.6562235077566
Indonesia,IDN,1998,26.779324887275518
Indonesia,IDN,1999,27.32439489019815
Indonesia,IDN,2000,25.02871280577657
Indonesia,IDN,2001,25.62524872094123
Indonesia,IDN,2002,27.66394989326751
Indonesia,IDN,2003,27.22137043263782
Indonesia,IDN,2004,27.6668218875316
Indonesia,IDN,2005,27.988627338757986
Indonesia,IDN,2006,28.83781371881299
Indonesia,IDN,2007,29.55794464087143
Indonesia,IDN,2008,29.14343277987761
Indonesia,IDN,2009,29.40755792896287
Indonesia,IDN,2010,29.48734026992806
Indonesia,IDN,2011,32.64144599557982
Indonesia,IDN,2012,32.90158926179551
Indonesia,IDN,2013,32.920333284974376
Indonesia,IDN,2014,32.51124748308797
Indonesia,IDN,2015,32.9936513367263
Indonesia,IDN,2016,31.00816914291767
Indonesia,IDN,2017,30.177677621845422
Indonesia,IDN,2018,29.91118150392303
Indonesia,IDN,2019,29.474470625317277
Indonesia,IDN,2020,29.529450686672
Indonesia,IDN,2021,30.11689354355578
Japan,JPN,2008,26.147178468610534
Japan,JPN,2010,25.681098915550848
Japan,JPN,2013,26.408767728146742
Laos,LAO,1992,28.08185342752882
Laos,LAO,1997,29.111426438899603
Laos,LAO,2002,27.048149086876062
Laos,LAO,2007,29.2512940781746
Laos,LAO,2012,28.96991645646519
Laos,LAO,2018,31.247059056227062
Malaysia,MYS,1984,38.45030183340919
Malaysia,MYS,1987,36.938756908281704
Malaysia,MYS,1989,36.41095711599975
Malaysia,MYS,1992,37.01692516650732
Malaysia,MYS,1995,37.8570968428066
Malaysia,MYS,1997,38.416469835067076
Malaysia,MYS,2003,35.12368398859926
Malaysia,MYS,2006,33.84518558957179
Malaysia,MYS,2008,34.15017207526963
Malaysia,MYS,2011,33.18693983265597
Malaysia,MYS,2013,31.821602977264764
Malaysia,MYS,2015,31.273351935859388
Maldives,MDV,2002,34.83969751892236
Maldives,MDV,2009,29.94292368434418
Maldives,MDV,2016,25.17363515749812
Maldives,MDV,2019,23.28862605117905
Mongolia,MNG,1995,24.961757048804788
Mongolia,MNG,1998,22.92161639065575
Mongolia,MNG,2002,24.63418850407558
Mongolia,MNG,2007,27.755606423105373
Mongolia,MNG,2010,25.72988610050222
Mongolia,MNG,2011,26.62297476394178
Mongolia,MNG,2012,26.186320200670487
Mongolia,MNG,2014,25.47082035941201
Mongolia,MNG,2016,25.618969321167402
Mongolia,MNG,2018,25.67066813181253
Myanmar,MMR,2015,31.70591146755385
Myanmar,MMR,2017,25.51765370633019
Nepal,NPL,1984,24.98343296566576
