Code
BHR
BGD
BTN
IOT
BRN
KHM
CHN
CCK
HKG
IND
IDN
JPN
LAO
MAC
MYS
MDV
MNG
MMR
NPL
PRK
OMN
PHL
SGP
KOR
LKA
TWN
THA
VNM
