Entity,Code,Year,3_0_Energy_intensity
Bahrain,BHR,2000,2.8972246247711184
Bahrain,BHR,2001,2.8916689376144413
Bahrain,BHR,2002,2.9027800470180516
Bahrain,BHR,2003,2.8611134529819493
Bahrain,BHR,2004,2.7305577188072205
Bahrain,BHR,2005,2.930557952981949
Bahrain,BHR,2006,2.8777799846324923
Bahrain,BHR,2007,2.8638912965602876
Bahrain,BHR,2008,2.875002405963898
Bahrain,BHR,2009,2.6944465470180514
Bahrain,BHR,2010,2.6638910623855594
Bahrain,BHR,2011,2.6166687811927796
Bahrain,BHR,2012,2.4000020153675083
Bahrain,BHR,2013,2.6500021094036104
Bahrain,BHR,2014,2.4361131871566775
Bahrain,BHR,2015,2.513890952981949
Bahrain,BHR,2016,2.394446328210831
Bahrain,BHR,2017,2.3138907188072206
Bahrain,BHR,2018,2.2972241871566776
Bahrain,BHR,2019,2.425001812843323
Bangladesh,BGD,2000,0.8722229491400719
Bangladesh,BGD,2001,0.9083340547018052
Bangladesh,BGD,2002,0.897222945298195
Bangladesh,BGD,2003,0.8888896132454873
Bangladesh,BGD,2004,0.8611117735090257
Bangladesh,BGD,2005,0.8472228867545128
Bangladesh,BGD,2006,0.8472228867545128
Bangladesh,BGD,2007,0.827778445298195
Bangladesh,BGD,2008,0.8166673358945847
Bangladesh,BGD,2009,0.8166673358945847
Bangladesh,BGD,2010,0.8138895585436822
Bangladesh,BGD,2011,0.7916672735090257
Bangladesh,BGD,2012,0.7694450547018051
Bangladesh,BGD,2013,0.758333945298195
Bangladesh,BGD,2014,0.738889503841877
Bangladesh,BGD,2015,0.7472228358945847
Bangladesh,BGD,2016,0.7250005508599282
Bangladesh,BGD,2017,0.6944450000000001
Bangladesh,BGD,2018,0.6388893867545128
Bangladesh,BGD,2019,0.6555560508599282
Bhutan,BTN,2000,5.11667078119278
Bhutan,BTN,2001,4.802781874313355
Bhutan,BTN,2002,4.441670156421662
Bhutan,BTN,2003,4.1555588905963905
Bhutan,BTN,2004,3.9305585940361025
Bhutan,BTN,2005,3.7805584846324924
Bhutan,BTN,2006,3.608336156421662
Bhutan,BTN,2007,3.138891452981949
Bhutan,BTN,2008,3.088891328210831
Bhutan,BTN,2009,2.9694467034397127
Bhutan,BTN,2010,2.8083354846324924
Bhutan,BTN,2011,2.6305577341747286
Bhutan,BTN,2012,2.641668843578339
Bhutan,BTN,2013,2.6138909376144412
Bhutan,BTN,2014,2.588890875228882
Bhutan,BTN,2015,2.4166685470180513
Bhutan,BTN,2016,2.305557452981949
Bhutan,BTN,2017,2.2388907965602876
Bhutan,BTN,2018,2.2833352341747286
Bhutan,BTN,2019,2.197223937614441
Brunei,BRN,2000,1.205556562385559
Brunei,BRN,2001,1.086112003841877
Brunei,BRN,2002,1.0222230585436822
Brunei,BRN,2003,1.1527787264909746
Brunei,BRN,2004,1.0527786094036102
Brunei,BRN,2005,1.0138897264909745
Brunei,BRN,2006,1.37777889059639
Brunei,BRN,2007,1.4083345076837541
Brunei,BRN,2008,1.5777789923162462
Brunei,BRN,2009,1.3805566017198563
Brunei,BRN,2010,1.4305567264909747
Brunei,BRN,2011,1.6500013358945849
Brunei,BRN,2012,1.616668007683754
Brunei,BRN,2013,1.3111121017198564
Brunei,BRN,2014,1.572223437614441
Brunei,BRN,2015,1.205556562385559
Brunei,BRN,2016,1.363889937614441
Brunei,BRN,2017,1.630556828210831
Brunei,BRN,2018,1.6250012735090258
Brunei,BRN,2019,1.7638902735090258
Cambodia,KHM,2000,2.197223937614441
Cambodia,KHM,2001,2.0861128435783387
Cambodia,KHM,2002,1.958334952981949
Cambodia,KHM,2003,1.8583348358945848
Cambodia,KHM,2004,1.730556945298195
Cambodia,KHM,2005,1.591667945298195
Cambodia,KHM,2006,1.4750011641054155
Cambodia,KHM,2007,1.3972233982801439
Cambodia,KHM,2008,1.3222233435783388
Cambodia,KHM,2009,1.4083345076837541
Cambodia,KHM,2010,1.402778952981949
Cambodia,KHM,2011,1.3361121641054154
Cambodia,KHM,2012,1.300000992316246
Cambodia,KHM,2013,1.2416676017198565
Cambodia,KHM,2014,1.2500010000000001
Cambodia,KHM,2015,1.2722232188072207
Cambodia,KHM,2016,1.3166676564216615
Cambodia,KHM,2017,1.2750010623855592
Cambodia,KHM,2018,1.2805566170873643
Cambodia,KHM,2019,1.300000992316246
China,CHN,2000,3.013891405963898
China,CHN,2001,2.8777799846324923
China,CHN,2002,2.811113328210831
China,CHN,2003,2.911113312843323
China,CHN,2004,3.0083357188072206
China,CHN,2005,2.9777802341747286
China,CHN,2006,2.8916689376144413
China,CHN,2007,2.725002296560288
China,CHN,2008,2.5500021247711184
China,CHN,2009,2.4861130470180512
China,CHN,2010,2.4805576247711185
China,CHN,2011,2.4305575000000004
China,CHN,2012,2.336112937614441
China,CHN,2013,2.2361129529819492
China,CHN,2014,2.136112835894585
China,CHN,2015,2.0027793905963898
China,CHN,2016,1.86389039059639
China,CHN,2017,1.8083348435783388
China,CHN,2018,1.7750013829126359
China,CHN,2019,1.7527791641054156
Hong Kong,HKG,2000,0.6805561132454873
Hong Kong,HKG,2001,0.6666672264909745
Hong Kong,HKG,2002,0.6138893905963898
